Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.0736835,1.458857775,1.595384002,0.926081717,1.811602354,1.727570057,1.680769682,,1.768133879,1.782759428,2.032880783,1.150627732,1.533679843,0.628878832,1.67983079,1.350815773,1.804522276,1.557179451,1.81786263,1.59721458,1.596628308,1.930998564,1.595935464,,,,,,
P02,0.618546844,1.312865138,1.237740397,0.75571835,2.202597618,1.477974772,1.4574579,,1.530646682,1.611419439,1.562479019,1.090052366,1.531677604,0.581769645,1.552869558,1.390221596,1.767110586,1.515652299,1.670102954,2.100503683,1.80531311,1.302430987,1.652266383,,,,,,
P03,0.87206316,1.478097677,1.3739568,0.810329437,2.617812634,1.821573019,1.47951138,,1.673556685,1.530069947,1.608294487,1.323884964,1.649717927,0.796702564,1.633889079,1.493865013,1.748962402,1.503095984,1.763537049,2.031103849,1.643177986,1.381303072,1.627162814,,,,,,
P04,0.947906256,1.422228217,1.593719482,0.759370565,2.358129025,1.768790841,1.725031018,,1.809084415,1.65860188,1.843551636,1.496410131,1.567909241,0.639069974,1.780601263,1.731249213,1.639483809,1.443338513,1.942280173,2.014418364,1.644331455,1.456999183,1.6661973,,,,,,
P05,1.012351871,1.4762609,1.714349627,0.923631966,2.599515915,1.873361826,1.660449743,,1.420488954,1.868942499,1.698278189,1.478987217,1.798163891,1.079515219,1.753328085,1.509111881,1.746541858,1.738659263,1.96285212,1.953730702,1.879182339,1.674747109,1.729569554,,,,,,
P06,0.839356065,1.37763083,1.45047915,0.830289185,2.238903761,2.007008553,1.695741653,,1.931343794,1.86706543,2.193037748,1.21053648,1.479673743,0.854396641,1.652460337,1.639409781,1.795187831,1.615171432,1.93225944,2.028064489,1.852151871,1.510867357,1.728659034,,,,,,
P07,0.942470551,1.642439127,1.519719839,0.503338635,2.633373022,1.765322804,1.450107932,,1.817189097,2.022508144,1.883366942,1.445415854,1.672962546,0.74608475,1.556494832,1.553746819,1.728063941,1.525744557,1.928143024,1.922221541,1.65461421,1.699278593,1.645291924,,,,,,
P08,0.678218663,1.18718946,1.375920296,0.509524822,1.807177067,1.629705906,1.45540607,,1.608299255,2.041926146,1.966039896,1.256794572,1.574415565,0.81491673,1.3959378,1.645116806,1.929733753,1.659932733,1.881668329,2.012425661,1.347650409,1.270167947,1.706445575,,,,,,
P09,0.93773669,1.555792928,1.581203818,0.732854187,2.229808331,1.855063558,1.157725215,,1.844999552,2.082754612,2.037208557,1.493493795,1.744182467,1.003196716,1.627304316,1.608114243,1.783472896,1.452918649,1.918641925,2.00102973,1.652431607,1.503438234,1.705673814,,,,,,
P10,0.832159579,1.24014163,1.259373546,0.825524092,1.632761836,1.684967875,1.653926373,,1.931902289,1.812450051,1.802432299,1.273423433,1.509965181,0.636011124,1.541202188,1.547046304,1.766182423,1.637976408,1.916234732,1.765161633,1.598378062,1.551309347,1.53422451,,,,,,
P11,1.093755007,1.557410598,1.707472563,1.386236668,2.265603781,1.656555176,1.598209023,,1.889458418,2.026647568,1.950553417,1.409875989,1.648224235,0.855173469,1.691345215,1.616576791,1.830495596,1.551805973,1.883469701,1.834743142,1.843612075,1.736679316,1.627966523,,,,,,
P12,0.999225855,1.46942544,1.719800353,1.184552789,2.478850842,1.875843287,1.602036953,,1.639399648,1.855823517,1.883532524,1.70558846,1.743969679,0.73768729,1.691547036,1.80815959,1.720942616,1.729974389,1.923784852,2.010910988,1.561312318,1.721324444,1.673950553,,,,,,
P13,0.867231548,1.32509315,1.466287136,0.585454226,2.351954699,1.728088856,1.592075348,,1.856472254,1.594158769,1.883569002,1.717168331,1.92695272,0.685759485,1.711077809,1.721346021,1.803931355,1.530074596,1.805422425,1.920272231,1.591531992,1.63239193,1.664354801,,,,,,
P14,1.087343574,1.4947083,1.68822372,0.927661598,1.932311058,1.807301641,1.586776853,,1.934345722,1.725467801,2.030369282,1.443821669,1.796712041,0.879105866,1.599554896,1.612823129,1.733841181,1.610614061,1.832183361,1.971835971,1.546208024,1.470215201,1.694647908,,,,,,
P15,1.127739429,1.404284239,1.537731767,1.335372925,2.176153421,1.458735466,1.773638248,,1.680129766,1.93026042,1.857545972,1.696025848,2.031319618,0.920948267,1.563192248,1.536133766,1.821965337,1.786228061,1.887035131,1.821360707,1.756227255,1.615833759,1.701293349,,,,,,
P16,1.201386809,1.602550507,1.667839646,1.370070815,2.405522585,1.686226606,1.759227872,,2.099433184,2.413463831,2.433634758,1.750640631,1.956821322,1.201611876,1.739973903,1.528226495,1.837559342,1.653216004,1.874677062,1.921493649,1.69143343,1.587344885,1.676152587,,,,,,
P17,0.922751486,1.345301509,1.63994503,0.788975179,2.205590963,1.629288435,1.798735499,,1.720480442,1.734679937,1.8409549,1.583893418,1.89381516,0.964966655,1.674696207,1.647273183,1.679575205,1.547282338,1.832620859,1.729361057,1.8826859,1.815448046,1.687705755,,,,,,
P18,1.332075357,1.621148944,1.677831888,1.113398671,2.217058182,1.529524803,1.910684943,,1.974913597,2.366005182,2.486359119,1.513561606,1.746979833,0.72931999,1.686490655,1.866595984,1.852133512,1.752898693,2.035250664,1.923821688,1.952489376,2.058055401,1.693347931,,,,,,
P19,1.138472676,1.438531518,1.596815467,1.342036724,2.180205584,1.62668407,1.841299415,,1.712340474,2.352259398,2.140268803,1.475558043,1.736023784,0.933977127,1.794985294,1.611296892,1.834918022,1.753968,1.991037011,1.803172231,1.661980152,1.878122211,1.574084401,,,,,,
