Province,SC11,SC12,SC13,SC14,SC21,SC22,SC23,SC24,SC31,SC32,SC33,SC41,SC42,SC43,SC44,SC51,SC52,SC53,SC54,SC61,SC62,SC63,SC64,SC71,SC72,SC73,SC81,SC82,SC83
P01,1.038989067,1.683629513,1.579091311,0.949242711,1.88295579,1.684175014,1.697942376,,2.150012255,1.173500776,1.288542151,1.355359912,1.728419542,0.766580284,1.671498775,1.727244973,1.819974661,1.563044667,1.855085254,1.790352345,1.688760996,1.896805763,1.640095234,,,,,,
P02,0.824473143,1.608049154,1.530302048,1.060586333,2.13386035,1.74143219,1.696831584,,1.915775657,1.451872468,1.228637457,1.331501365,1.638143659,0.84562856,1.487258077,1.68312645,1.650102139,1.677507758,1.782860041,2.026514053,1.645407081,1.405795693,1.606629014,,,,,,
P03,0.939403653,1.849956512,1.499089956,0.901264846,2.338121653,1.840355635,1.59840095,,2.19889307,2.016582012,1.212301373,1.649099112,1.897037506,0.843361795,1.568788409,1.696637988,1.631245255,1.625366926,1.824936748,2.042207479,1.704066157,1.35897398,1.610555768,,,,,,
P04,1.016124368,1.742185473,1.710245609,0.926003635,2.080776691,1.550025702,1.664373159,,1.91224122,1.297696233,1.113648176,1.632111907,1.705486178,0.836869538,1.431242824,1.734632373,1.737044096,1.618929386,1.716902733,2.068650484,1.634609342,1.516764402,1.691619396,,,,,,
P05,1.077715635,1.78960073,1.65009594,1.17065084,2.51193428,1.804239631,1.818231821,,2.338217974,1.654496431,1.396682858,1.695807338,1.881163001,1.055981874,1.554652929,1.792893171,1.778254032,1.559023976,1.909273028,2.031302691,1.616115928,1.725987434,1.684737325,,,,,,
P06,0.914609194,1.77188766,1.462902546,1.062839031,2.337201118,1.819719076,1.718619108,,2.344927311,2.00244379,1.214887619,1.695771337,1.998329401,1.095271111,1.74467659,1.664362192,1.791293383,1.506642818,1.847421169,2.001313448,1.699658275,1.611869574,1.690117955,,,,,,
P07,0.953511357,1.905074,1.516538382,0.613329768,2.371990204,1.721812248,1.533663511,,2.235459089,1.656484842,1.169429421,1.69488287,2.060774803,0.947865903,1.546190739,1.73920393,1.727800727,1.665747881,1.856019378,2.042311192,1.530064821,1.573649764,1.722706199,,,,,,
P08,0.827802837,1.647571564,1.470707297,0.911041379,2.005348206,1.490834475,1.643758774,,1.738068342,1.157843828,1.201266646,1.447712183,1.559395552,0.822509289,1.494051337,1.617847919,1.823727369,1.588916183,1.858312964,1.777511358,1.669801354,1.586604595,1.75597465,,,,,,
P09,0.996492386,1.740059614,1.794119239,0.819802344,2.044555187,1.82247746,1.588945866,,1.955523014,1.765622735,1.418716431,1.628222227,1.86369431,1.021449685,1.568491697,1.707556248,1.801318765,1.60523057,1.82090044,1.94935298,1.568893433,1.453635693,1.694931149,,,,,,
P10,1.058011889,1.641796112,1.462649703,0.862347841,2.135187626,1.581954002,1.479880214,,2.297563314,1.014368892,1.234330773,1.473274708,1.925467849,0.733692706,1.67147398,1.737725496,1.846299529,1.642253518,1.823109031,1.932158351,1.651372433,1.510878325,1.660588145,,,,,,
P11,1.012438059,1.852403402,1.767326713,1.165528297,2.38822341,1.757232785,1.674612761,,2.225625515,1.664951444,1.406087637,1.645030975,1.826027513,0.906902909,1.599694848,1.909204245,1.831984401,1.463432074,1.924997091,1.971490979,1.83086288,1.739965439,1.700354338,,,,,,
P12,1.142249584,1.91752243,1.837645769,1.194249153,2.499383211,1.860003114,1.845165014,,2.154692888,1.803506374,1.367116213,1.500810266,1.714972019,0.765212834,1.698967576,1.860304117,1.803284764,1.560319901,1.939343452,1.881425381,1.679884434,1.819609165,1.682738185,,,,,,
P13,0.862888038,1.695359349,1.521728873,1.158352971,2.029061794,1.616212964,1.633095503,,2.08797884,1.631764412,1.044199705,1.608939648,1.797379017,0.963196874,1.454028606,1.723360181,1.857096672,1.653941154,1.698984504,1.834259748,1.582451463,1.864976287,1.644327998,,,,,,
P14,1.1458745,1.87925148,1.75632906,1.127428174,2.119163275,1.956630468,1.77500689,,2.088687897,1.207766891,1.520670295,1.652078509,1.965139508,1.04099524,1.623924494,1.734388947,1.829551935,1.585116029,1.88168478,1.947047353,1.613372564,1.614927411,1.654733896,,,,,,
P15,1.132610679,1.593696833,1.85181129,1.459198117,2.191623449,1.766016006,1.856754899,,2.053035021,1.571767569,1.326602459,1.605643272,1.973523617,0.97724998,1.592562556,1.737311363,1.851022959,1.620524883,1.951760888,1.918253303,1.693888664,1.693068504,1.750645161,,,,,,
P16,1.093171597,1.770835519,1.632357836,0.867524922,2.482774019,1.834959269,1.872561097,,2.352988482,1.176886916,1.436313033,1.831221819,2.020725965,0.949537694,1.758901119,1.841119766,1.906531811,1.759791732,1.911482334,1.930752397,1.607800484,1.577493787,1.666190386,,,,,,
P17,1.047360063,1.684057713,1.621073484,0.925381362,2.024600744,1.638206363,1.652434945,,2.042546511,1.464773059,1.284435391,1.77015543,1.88395834,1.052354336,1.6330477,1.771757722,1.873800278,1.608120441,1.904450774,1.879732251,1.658405542,1.806839943,1.657946587,,,,,,
P18,1.430987477,2.026608467,1.684815884,1.250085592,2.555145979,1.862729549,1.875628829,,2.123581648,1.302157283,1.661771417,1.76791656,1.915296793,0.824720144,1.827850223,1.854928374,1.900368094,1.650630474,1.935237527,2.095377207,1.978114128,2.01453042,1.665831566,,,,,,
P19,1.077043176,1.725048542,1.684229374,1.795848489,2.609652042,1.90867281,1.898928285,,2.321390629,0.991807938,1.630544186,1.87546885,1.963516831,1.07532835,1.699547172,1.808324337,1.808566332,1.644362688,1.913895965,2.062395096,1.645874262,1.971742272,1.6160115,,,,,,
