,Year,Province,Criterion,ER_Utility,Belief_Entropy
0,2018,P01,C01,0.4794,0.7870
1,2018,P01,C02,0.3994,1.0000
2,2018,P01,C03,0.3452,0.8562
3,2018,P01,C04,0.3143,0.8656
4,2018,P01,C05,0.5697,1.0412
5,2018,P01,C06,0.4200,1.1322
6,2018,P01,C07,0.1763,0.5176
7,2018,P01,C08,0.4966,0.8863
8,2018,P02,C01,0.4977,0.5621
9,2018,P02,C02,0.5767,1.0437
10,2018,P02,C03,0.4724,0.8432
11,2018,P02,C04,0.3451,0.9928
12,2018,P02,C05,0.3651,0.7963
13,2018,P02,C06,0.3132,0.8991
14,2018,P02,C07,0.4095,1.0259
15,2018,P02,C08,0.5769,1.0431
16,2018,P03,C01,0.5287,0.9446
17,2018,P03,C02,0.5070,0.6198
18,2018,P03,C03,0.5627,1.0310
19,2018,P03,C04,0.4374,1.0307
20,2018,P03,C05,0.2381,0.9688
21,2018,P03,C06,0.1736,0.4850
22,2018,P03,C07,0.4823,0.9276
23,2018,P03,C08,0.6224,0.8888
24,2018,P04,C01,0.5030,0.5619
25,2018,P04,C02,0.5089,0.7792
26,2018,P04,C03,0.5465,0.9756
27,2018,P04,C04,0.3915,1.0200
28,2018,P04,C05,0.4867,0.6743
29,2018,P04,C06,0.4617,1.0747
30,2018,P04,C07,0.4805,1.1644
31,2018,P04,C08,0.4830,0.7966
32,2018,P05,C01,0.6878,0.8848
33,2018,P05,C02,0.5689,1.0404
34,2018,P05,C03,0.5970,1.0114
35,2018,P05,C04,0.3599,0.9944
36,2018,P05,C05,0.4368,1.0318
37,2018,P05,C06,0.5670,1.0380
38,2018,P05,C07,0.3601,0.9704
39,2018,P05,C08,0.5182,0.9026
40,2018,P06,C01,0.5417,0.9496
41,2018,P06,C02,0.5611,1.0275
42,2018,P06,C03,0.4875,0.8641
43,2018,P06,C04,0.3902,1.0089
44,2018,P06,C05,0.4495,0.9935
45,2018,P06,C06,0.5859,1.0357
46,2018,P06,C07,0.3480,0.9722
47,2018,P06,C08,0.4832,0.9127
48,2018,P07,C01,0.4078,1.2547
49,2018,P07,C02,0.5545,1.0088
50,2018,P07,C03,0.4039,1.0145
51,2018,P07,C04,0.4266,1.0430
52,2018,P07,C05,0.3384,0.6002
53,2018,P07,C06,0.4273,1.0875
54,2018,P07,C07,0.4632,1.0943
55,2018,P07,C08,0.4628,0.9211
56,2018,P08,C01,0.4856,0.6898
57,2018,P08,C02,0.5652,1.0385
58,2018,P08,C03,0.4531,0.9772
59,2018,P08,C04,0.4960,0.8358
60,2018,P08,C05,0.5399,0.9383
61,2018,P08,C06,0.4658,1.0679
62,2018,P08,C07,0.4474,1.1287
63,2018,P08,C08,0.5655,1.0359
64,2018,P09,C01,0.4986,0.6401
65,2018,P09,C02,0.4724,0.8439
66,2018,P09,C03,0.5836,1.0396
67,2018,P09,C04,0.4832,0.7948
68,2018,P09,C05,0.5371,0.9198
69,2018,P09,C06,0.4130,1.0345
70,2018,P09,C07,0.3814,1.0144
71,2018,P09,C08,0.4115,1.0322
72,2018,P10,C01,0.6016,0.9964
73,2018,P10,C02,0.5377,0.9243
74,2018,P10,C03,0.5174,0.8716
75,2018,P10,C04,0.3606,1.0503
76,2018,P10,C05,0.6781,0.7543
77,2018,P10,C06,0.5399,0.9389
78,2018,P10,C07,0.3889,1.0291
79,2018,P10,C08,0.6069,1.0308
80,2018,P11,C01,0.6872,0.9406
81,2018,P11,C02,0.5901,1.0292
82,2018,P11,C03,0.4683,0.9030
83,2018,P11,C04,0.3179,0.8197
84,2018,P11,C05,0.4729,0.8391
85,2018,P11,C06,0.6240,0.9909
86,2018,P11,C07,0.2699,1.0434
87,2018,P11,C08,0.5810,1.0944
88,2018,P12,C01,0.6614,0.8842
89,2018,P12,C02,0.8326,0.3913
90,2018,P12,C03,0.8326,0.3913
91,2018,P12,C04,0.3331,0.9038
92,2018,P12,C05,0.6076,0.9725
93,2018,P12,C06,0.4836,0.9459
94,2018,P12,C07,0.1975,0.7220
95,2018,P12,C08,0.6689,0.7713
96,2018,P13,C01,0.6164,0.9274
97,2018,P13,C02,0.7515,1.0062
98,2018,P13,C03,0.5827,1.0401
99,2018,P13,C04,0.6392,0.7915
100,2018,P13,C05,0.6426,0.7253
101,2018,P13,C06,0.5539,1.0065
102,2018,P13,C07,0.5246,1.1569
103,2018,P13,C08,0.6680,0.7806
104,2018,P14,C01,0.7081,1.0126
105,2018,P14,C02,0.5000,0.3913
106,2018,P14,C03,0.5816,1.0415
107,2018,P14,C04,0.5000,0.3913
108,2018,P14,C05,0.8326,0.3913
109,2018,P14,C06,0.7298,1.0435
110,2018,P14,C07,0.6528,1.2055
111,2018,P14,C08,0.6485,0.9135
112,2018,P15,C01,0.6841,0.8403
113,2018,P15,C02,0.7035,0.9944
114,2018,P15,C03,0.4919,0.5901
115,2018,P15,C04,0.4920,0.7475
116,2018,P15,C05,0.6794,0.7759
117,2018,P15,C06,0.6981,0.9662
118,2018,P15,C07,0.4766,1.1807
119,2018,P15,C08,0.6128,1.1035
120,2018,P16,C01,0.5673,1.0385
121,2018,P16,C02,0.5049,0.8140
122,2018,P16,C03,0.4941,0.6752
123,2018,P16,C04,0.6297,0.8372
124,2018,P16,C05,0.5611,1.0275
125,2018,P16,C06,0.3726,0.9548
126,2018,P16,C07,0.4158,1.0443
127,2018,P16,C08,0.3496,0.7252
128,2018,P17,C01,0.7162,1.0340
129,2018,P17,C02,0.4132,1.0350
130,2018,P17,C03,0.5406,0.9433
131,2018,P17,C04,0.6451,0.6984
132,2018,P17,C05,0.5208,0.9461
133,2018,P17,C06,0.4215,1.0827
134,2018,P17,C07,0.3134,0.8733
135,2018,P17,C08,0.5396,0.9377
136,2018,P18,C01,0.6475,0.8031
137,2018,P18,C02,0.6098,0.9616
138,2018,P18,C03,0.6128,0.9463
139,2018,P18,C04,0.4740,0.8537
140,2018,P18,C05,0.4685,0.8774
141,2018,P18,C06,0.6473,0.8694
142,2018,P18,C07,0.3710,1.0668
143,2018,P18,C08,0.4712,0.9677
144,2018,P19,C01,0.6850,0.8531
145,2018,P19,C02,0.4857,0.7833
146,2018,P19,C03,0.3828,0.9224
147,2018,P19,C04,0.3319,0.8257
148,2018,P19,C05,0.4454,1.0092
149,2018,P19,C06,0.5119,0.8402
150,2018,P19,C07,0.3316,0.8563
