Position,Province,ER_Score,ER_Rank,Percentile,Z_Score,Tier,Belief_Entropy,Utility_Interval_Width,Kendall_W
1,P39,0.6584,1,100.0000,2.1373,Elite (Top 10%),1.1961,0.4606,0.4321
2,P46,0.6358,2,98.4000,1.8482,Elite (Top 10%),1.3230,0.4701,0.4321
3,P12,0.6242,3,96.7000,1.6990,Elite (Top 10%),1.4951,0.4744,0.4321
4,P14,0.6205,4,95.1000,1.6514,Elite (Top 10%),1.4813,0.4758,0.4321
5,P38,0.6129,5,93.4000,1.5546,Elite (Top 10%),1.1984,0.4627,0.4321
6,P49,0.6045,6,91.8000,1.4465,Elite (Top 10%),1.4679,0.4746,0.4321
7,P28,0.5825,7,90.2000,1.1658,High (10-25%),1.3724,0.4694,0.4321
8,P30,0.5818,8,88.5000,1.1563,High (10-25%),1.1451,0.4597,0.4321
9,P18,0.5751,9,86.9000,1.0707,High (10-25%),1.5344,0.4774,0.4321
10,P22,0.5708,10,85.2000,1.0152,High (10-25%),1.3632,0.4690,0.4321
11,P26,0.5660,11,83.6000,0.9540,High (10-25%),1.4325,0.4719,0.4321
12,P63,0.5655,12,82.0000,0.9482,High (10-25%),1.4206,0.4719,0.4321
13,P31,0.5600,13,80.3000,0.8768,High (10-25%),1.3340,0.4673,0.4321
14,P62,0.5505,14,78.7000,0.7563,High (10-25%),1.1838,0.4615,0.4321
15,P47,0.5425,15,77.0000,0.6537,High (10-25%),1.4700,0.4735,0.4321
16,P21,0.5424,16,75.4000,0.6517,Upper-Mid (25-50%),1.2674,0.4659,0.4321
17,P60,0.5399,17,73.8000,0.6204,Upper-Mid (25-50%),1.4365,0.4715,0.4321
18,P24,0.5355,18,72.1000,0.5643,Upper-Mid (25-50%),1.3746,0.4692,0.4321
19,P56,0.5336,19,70.5000,0.5388,Upper-Mid (25-50%),1.3899,0.4677,0.4321
20,P13,0.5328,20,68.9000,0.5286,Upper-Mid (25-50%),1.1518,0.4567,0.4321
21,P61,0.5285,21,67.2000,0.4735,Upper-Mid (25-50%),1.4795,0.4755,0.4321
22,P04,0.5281,22,65.6000,0.4685,Upper-Mid (25-50%),1.3295,0.4672,0.4321
23,P29,0.5264,23,63.9000,0.4479,Upper-Mid (25-50%),1.6382,0.4792,0.4321
24,P15,0.5239,24,62.3000,0.4154,Upper-Mid (25-50%),1.5009,0.4732,0.4321
25,P09,0.5181,25,60.7000,0.3412,Upper-Mid (25-50%),1.1947,0.4621,0.4321
26,P16,0.5165,26,59.0000,0.3203,Upper-Mid (25-50%),1.3013,0.4656,0.4321
27,P25,0.5123,27,57.4000,0.2664,Upper-Mid (25-50%),1.3440,0.4688,0.4321
28,P27,0.5074,28,55.7000,0.2044,Upper-Mid (25-50%),1.3903,0.4720,0.4321
29,P32,0.5069,29,54.1000,0.1982,Upper-Mid (25-50%),1.5391,0.4759,0.4321
30,P02,0.5045,30,52.5000,0.1674,Upper-Mid (25-50%),1.2707,0.4626,0.4321
31,P11,0.5015,31,50.8000,0.1285,Lower-Mid (50-75%),1.2002,0.4607,0.4321
32,P34,0.4985,32,49.2000,0.0904,Lower-Mid (50-75%),1.2225,0.4617,0.4321
33,P37,0.4867,33,47.5000,-0.0605,Lower-Mid (50-75%),1.2835,0.4663,0.4321
34,P42,0.4845,34,45.9000,-0.0891,Lower-Mid (50-75%),1.2292,0.4610,0.4321
35,P35,0.4839,35,44.3000,-0.0966,Lower-Mid (50-75%),1.1488,0.4591,0.4321
36,P01,0.4812,36,42.6000,-0.1314,Lower-Mid (50-75%),1.5683,0.4770,0.4321
37,P23,0.4782,37,41.0000,-0.1702,Lower-Mid (50-75%),1.5195,0.4743,0.4321
38,P05,0.4758,38,39.3000,-0.2001,Lower-Mid (50-75%),1.3292,0.4701,0.4321
39,P08,0.4584,39,37.7000,-0.4233,Lower-Mid (50-75%),1.2391,0.4654,0.4321
40,P19,0.4513,40,36.1000,-0.5147,Lower-Mid (50-75%),1.4632,0.4734,0.4321
41,P57,0.4485,41,34.4000,-0.5501,Lower-Mid (50-75%),1.6411,0.4790,0.4321
42,P55,0.4449,42,32.8000,-0.5959,Lower-Mid (50-75%),1.5342,0.4747,0.4321
43,P20,0.4408,43,31.1000,-0.6491,Lower-Mid (50-75%),1.2521,0.4643,0.4321
44,P07,0.4365,44,29.5000,-0.7039,Lower-Mid (50-75%),1.3577,0.4667,0.4321
45,P50,0.4342,45,27.9000,-0.7333,Lower-Mid (50-75%),1.2738,0.4644,0.4321
46,P10,0.4288,46,26.2000,-0.8021,Low (75-100%),1.1221,0.4594,0.4321
47,P51,0.4273,47,24.6000,-0.8214,Low (75-100%),1.2655,0.4636,0.4321
48,P06,0.4178,48,23.0000,-0.9424,Low (75-100%),1.2809,0.4649,0.4321
49,P53,0.4118,49,21.3000,-1.0192,Low (75-100%),1.2873,0.4662,0.4321
50,P45,0.4082,50,19.7000,-1.0655,Low (75-100%),1.1824,0.4605,0.4321
51,P33,0.4078,51,18.0000,-1.0708,Low (75-100%),1.1901,0.4611,0.4321
52,P36,0.4075,52,16.4000,-1.0747,Low (75-100%),1.1810,0.4606,0.4321
53,P48,0.3961,53,14.8000,-1.2206,Low (75-100%),1.0705,0.4536,0.4321
54,P41,0.3929,54,13.1000,-1.2611,Low (75-100%),1.3201,0.4685,0.4321
55,P03,0.3923,55,11.5000,-1.2687,Low (75-100%),1.2450,0.4642,0.4321
56,P44,0.3791,56,9.8000,-1.4388,Low (75-100%),1.3224,0.4694,0.4321
57,P43,0.3761,57,8.2000,-1.4763,Low (75-100%),1.2834,0.4676,0.4321
58,P59,0.3670,58,6.6000,-1.5936,Low (75-100%),1.4431,0.4724,0.4321
59,P54,0.3551,59,4.9000,-1.7450,Low (75-100%),1.1490,0.4567,0.4321
60,P40,0.3530,60,3.3000,-1.7730,Low (75-100%),1.3249,0.4689,0.4321
