Position,Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,SAW,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,ER_Score,ER_Rank,Mean_Method_Score,Rank_Range,Spearman_vs_ER
1,P39,0.7712,0.7774,0.8478,0.7839,0.8032,0.8330,1,1,1,1,1,1,0.6584,1,0.8027,0,0.9896
2,P46,0.7208,0.7333,0.8391,0.7496,0.7709,0.8277,2,2,2,2,2,2,0.6358,2,0.7736,0,0.9896
3,P12,0.6520,0.6775,0.7367,0.6834,0.7111,0.7453,6,4,6,5,5,4,0.6242,3,0.7010,2,0.9896
4,P14,0.6728,0.6715,0.8010,0.7178,0.7370,0.8096,4,5,3,3,3,3,0.6205,4,0.7350,2,0.9896
5,P38,0.6607,0.6970,0.7678,0.6686,0.7018,0.7224,5,3,4,6,6,6,0.6129,5,0.7030,3,0.9896
6,P49,0.6808,0.6704,0.7489,0.6889,0.7115,0.7411,3,6,5,4,4,5,0.6045,6,0.7069,3,0.9896
7,P28,0.5849,0.6225,0.7044,0.6144,0.6461,0.6910,10,8,7,8,8,7,0.5825,7,0.6439,3,0.9896
8,P30,0.6261,0.6492,0.6871,0.6223,0.6513,0.6359,7,7,8,7,7,11,0.5818,8,0.6453,4,0.9896
9,P18,0.5725,0.6036,0.6631,0.5958,0.6310,0.6566,11,10,9,10,9,9,0.5751,9,0.6204,2,0.9896
10,P22,0.5657,0.6064,0.6411,0.5791,0.6059,0.6225,13,9,14,12,14,14,0.5708,10,0.6034,5,0.9896
11,P26,0.5542,0.5841,0.6485,0.5677,0.5957,0.6309,16,14,12,15,15,12,0.5660,11,0.5968,4,0.9896
12,P63,0.5649,0.6035,0.6545,0.5822,0.6162,0.6390,14,11,11,11,11,10,0.5655,12,0.6100,4,0.9896
13,P31,0.5659,0.6008,0.6577,0.5768,0.6069,0.6299,12,12,10,13,13,13,0.5600,13,0.6063,3,0.9896
14,P62,0.5476,0.5916,0.6245,0.5539,0.5881,0.6002,17,13,15,18,18,17,0.5505,14,0.5843,5,0.9896
15,P47,0.5897,0.5649,0.6483,0.6072,0.6195,0.6607,8,16,13,9,10,8,0.5425,15,0.6151,8,0.9896
16,P21,0.5244,0.5635,0.6056,0.5364,0.5711,0.5892,21,18,17,22,21,18,0.5424,16,0.5650,5,0.9896
17,P60,0.5862,0.5741,0.5866,0.5743,0.6083,0.5782,9,15,20,14,12,20,0.5399,17,0.5846,11,0.9896
18,P24,0.5272,0.5612,0.5944,0.5423,0.5851,0.5847,19,19,18,20,19,19,0.5355,18,0.5658,2,0.9896
19,P56,0.5596,0.5529,0.5597,0.5616,0.5928,0.5751,15,20,23,16,17,21,0.5336,19,0.5669,8,0.9896
20,P13,0.5077,0.5397,0.6095,0.5493,0.5932,0.6114,22,21,16,19,16,16,0.5328,20,0.5685,6,0.9896
21,P61,0.5252,0.5123,0.5863,0.5583,0.5835,0.6183,20,25,21,17,20,15,0.5285,21,0.5640,10,0.9896
22,P04,0.5342,0.5646,0.5918,0.5408,0.5657,0.5681,18,17,19,21,22,22,0.5281,22,0.5609,5,0.9896
23,P29,0.4682,0.5137,0.5252,0.4840,0.5199,0.5239,29,24,28,28,28,29,0.5264,23,0.5058,5,0.9896
24,P15,0.4857,0.5258,0.5417,0.4992,0.5267,0.5445,24,22,27,25,25,27,0.5239,24,0.5206,5,0.9896
25,P09,0.4621,0.5001,0.5545,0.4918,0.5260,0.5596,31,28,26,27,26,25,0.5181,25,0.5157,6,0.9896
26,P16,0.4851,0.5148,0.5576,0.5064,0.5380,0.5614,25,23,24,24,23,24,0.5165,26,0.5272,2,0.9896
27,P25,0.4769,0.5085,0.5555,0.4948,0.5245,0.5615,26,26,25,26,27,23,0.5123,27,0.5203,4,0.9896
28,P27,0.4623,0.4971,0.5037,0.4665,0.4926,0.5029,30,29,34,32,32,34,0.5074,28,0.4875,5,0.9896
29,P32,0.4756,0.4752,0.5219,0.4826,0.5108,0.5250,27,32,29,30,29,28,0.5069,29,0.4985,5,0.9896
30,P02,0.4893,0.5069,0.5723,0.5074,0.5354,0.5546,23,27,22,23,24,26,0.5045,30,0.5277,5,0.9896
31,P11,0.4613,0.4769,0.5208,0.4740,0.5065,0.5099,32,31,30,31,30,32,0.5015,31,0.4916,2,0.9896
32,P34,0.4379,0.4774,0.5026,0.4524,0.4807,0.5027,34,30,35,34,35,35,0.4985,32,0.4756,5,0.9896
33,P37,0.4147,0.4104,0.5130,0.4445,0.4847,0.5196,36,41,33,36,34,30,0.4867,33,0.4645,11,0.9896
34,P42,0.4233,0.4441,0.4936,0.4456,0.4801,0.5059,35,35,36,35,36,33,0.4845,34,0.4654,3,0.9896
35,P35,0.4430,0.4746,0.5132,0.4593,0.4937,0.4994,33,33,32,33,31,36,0.4839,35,0.4805,5,0.9896
36,P01,0.4709,0.4653,0.5193,0.4834,0.4904,0.5134,28,34,31,29,33,31,0.4812,36,0.4904,6,0.9896
37,P23,0.4145,0.4301,0.4672,0.4230,0.4429,0.4834,37,38,37,38,38,37,0.4782,37,0.4435,1,0.9896
38,P05,0.4060,0.4262,0.4379,0.4132,0.4397,0.4428,38,39,39,40,39,39,0.4758,38,0.4276,2,0.9896
39,P08,0.3978,0.4318,0.4562,0.4262,0.4575,0.4739,40,36,38,37,37,38,0.4584,39,0.4406,4,0.9896
40,P19,0.3770,0.3971,0.4031,0.3910,0.4154,0.4271,43,42,42,43,42,43,0.4513,40,0.4018,1,0.9896
41,P57,0.3942,0.4311,0.4116,0.4021,0.4118,0.4341,41,37,40,41,43,41,0.4485,41,0.4141,6,0.9896
42,P55,0.4019,0.4168,0.4065,0.4154,0.4278,0.4388,39,40,41,39,40,40,0.4449,42,0.4179,2,0.9896
43,P20,0.3682,0.3792,0.3990,0.3951,0.4239,0.4297,44,45,43,42,41,42,0.4408,43,0.3992,4,0.9896
44,P07,0.3844,0.3703,0.3943,0.3834,0.3968,0.3972,42,47,45,44,44,46,0.4365,44,0.3877,5,0.9896
45,P50,0.3572,0.3754,0.3965,0.3722,0.3933,0.4120,45,46,44,45,45,44,0.4342,45,0.3844,2,0.9896
46,P10,0.3411,0.3800,0.3704,0.3596,0.3879,0.3879,46,44,47,47,47,47,0.4288,46,0.3711,3,0.9896
47,P51,0.3356,0.3835,0.3827,0.3602,0.3907,0.4025,47,43,46,46,46,45,0.4273,47,0.3759,4,0.9896
48,P06,0.3035,0.3493,0.3428,0.3197,0.3525,0.3512,50,49,48,48,48,51,0.4178,48,0.3365,3,0.9896
49,P53,0.2904,0.3519,0.3243,0.3170,0.3369,0.3558,51,48,51,49,49,50,0.4118,49,0.3294,3,0.9896
50,P45,0.2875,0.3418,0.3213,0.3122,0.3311,0.3607,52,50,52,50,51,48,0.4082,50,0.3258,4,0.9896
51,P33,0.3258,0.3338,0.3263,0.3040,0.3290,0.2978,48,51,49,52,52,56,0.4078,51,0.3194,8,0.9896
52,P36,0.3045,0.3234,0.3253,0.3038,0.3343,0.3189,49,53,50,53,50,53,0.4075,52,0.3184,4,0.9896
53,P48,0.2871,0.3319,0.3123,0.3077,0.3233,0.3589,53,52,53,51,53,49,0.3961,53,0.3202,4,0.9896
54,P41,0.2501,0.3056,0.2643,0.2667,0.2776,0.3125,56,55,56,56,56,54,0.3929,54,0.2795,2,0.9896
55,P03,0.2720,0.2974,0.3024,0.2910,0.3113,0.3296,55,56,54,54,54,52,0.3923,55,0.3006,4,0.9896
56,P44,0.2299,0.2805,0.2510,0.2541,0.2649,0.2999,60,58,57,57,57,55,0.3791,56,0.2634,5,0.9896
57,P43,0.2345,0.2886,0.2410,0.2485,0.2544,0.2848,59,57,58,58,58,57,0.3761,57,0.2586,2,0.9896
58,P59,0.2845,0.3070,0.2861,0.2765,0.2964,0.2822,54,54,55,55,55,58,0.3670,58,0.2888,4,0.9896
59,P54,0.1854,0.2190,0.2183,0.2073,0.2251,0.2634,61,61,61,61,61,59,0.3551,59,0.2198,2,0.9896
60,P40,0.2372,0.2492,0.2349,0.2396,0.2481,0.2510,57,59,60,59,59,60,0.3530,60,0.2433,3,0.9896
61,P58,0.2359,0.2279,0.2358,0.2267,0.2319,0.2216,58,60,59,60,60,61,0.3455,61,0.2300,3,0.9896
