Province,C01_TOPSIS,C01_VIKOR,C01_PROMETHEE,C01_COPRAS,C01_EDAS,C01_SAW,C02_TOPSIS,C02_VIKOR,C02_PROMETHEE,C02_COPRAS,C02_EDAS,C02_SAW,C03_TOPSIS,C03_VIKOR,C03_PROMETHEE,C03_COPRAS,C03_EDAS,C03_SAW,C04_TOPSIS,C04_VIKOR,C04_PROMETHEE,C04_COPRAS,C04_EDAS,C04_SAW,C05_TOPSIS,C05_VIKOR,C05_PROMETHEE,C05_COPRAS,C05_EDAS,C05_SAW,C06_TOPSIS,C06_VIKOR,C06_PROMETHEE,C06_COPRAS,C06_EDAS,C06_SAW,C07_TOPSIS,C07_VIKOR,C07_PROMETHEE,C07_COPRAS,C07_EDAS,C07_SAW,C08_TOPSIS,C08_VIKOR,C08_PROMETHEE,C08_COPRAS,C08_EDAS,C08_SAW,Mean_Rank,Median_Rank,StdDev_Rank,Best_Rank,Worst_Rank,Rank_Range
P01,18,24,19,15,13,13,3,4,5,4,4,6,49,52,40,46,48,34,44,44,44,47,48,48,40,34,41,41,41,41,33,48,35,35,36,37,61,60,61,61,61,61,3,3,2,3,3,3,32,36,20,2,61,59
P02,25,25,25,26,25,25,11,10,15,15,14,19,34,32,34,33,33,36,23,25,21,21,20,17,34,42,33,33,32,32,49,57,48,53,53,54,10,7,4,8,8,8,12,16,19,14,17,20,26,25,13,4,57,53
P03,47,46,48,46,46,43,20,17,34,27,28,37,46,44,48,45,45,46,60,60,59,59,59,59,59,59,59,59,59,59,46,52,44,45,46,41,26,30,28,26,28,28,52,50,54,51,51,55,45,46,12,17,60,43
P04,20,23,20,20,20,20,8,11,14,11,13,16,13,12,18,18,20,23,29,26,30,27,27,27,10,9,11,11,12,13,47,47,47,49,52,49,24,24,31,27,26,32,20,24,13,15,13,11,23,20,12,8,52,44
P05,23,21,24,25,27,27,37,36,40,40,38,39,9,10,12,11,13,22,43,42,42,44,44,44,48,49,46,48,45,46,35,40,34,37,37,39,47,39,47,45,45,44,54,55,50,50,49,44,37,40,12,9,55,46
P06,32,31,33,32,35,32,39,37,39,41,41,38,21,21,28,28,28,41,49,55,50,53,53,53,60,61,60,60,60,60,48,35,50,46,44,50,45,38,48,44,44,46,37,36,33,33,32,37,42,41,10,21,61,40
P07,51,47,47,48,47,42,42,41,46,43,43,47,19,20,30,24,26,33,52,56,48,52,52,50,37,47,38,37,35,35,61,61,61,61,61,60,8,28,27,13,14,23,6,15,14,13,19,32,38,41,16,6,61,55
P08,21,19,22,23,22,26,15,15,17,16,17,20,47,46,47,48,46,47,54,48,54,50,50,52,50,53,47,49,47,48,43,38,40,40,41,36,31,33,34,32,32,33,26,29,25,24,25,18,35,35,12,15,54,39
P09,22,20,21,22,23,22,33,33,30,30,30,30,16,16,10,13,12,8,31,35,28,30,30,28,32,31,34,34,36,37,36,32,37,36,34,34,23,18,15,18,18,16,42,41,41,40,37,40,28,30,9,8,42,34
P10,37,37,34,36,34,34,34,32,41,39,39,42,37,36,45,42,41,50,42,47,41,41,42,40,45,37,45,45,46,45,54,49,55,54,54,56,38,47,41,39,39,42,38,38,34,34,34,39,41,41,6,32,56,24
P11,26,22,26,24,24,23,28,29,28,28,26,31,22,22,27,23,23,30,34,36,33,34,34,33,56,56,54,54,55,52,25,34,23,28,31,29,5,8,13,6,6,13,30,30,30,30,29,36,29,29,12,5,56,51
P12,3,3,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,1,21,27,20,20,19,19,22,29,22,17,16,15,13,11,12,12,12,11,52,52,50,53,53,49,11,13,6,6,6,6,15,11,16,1,53,52
P13,16,16,15,13,11,11,13,12,10,10,10,11,31,31,26,29,29,21,26,29,26,26,26,24,21,28,15,15,11,10,31,28,27,30,28,20,28,26,29,29,27,30,34,35,31,31,31,31,23,26,8,10,35,25
P14,4,6,4,4,4,4,14,14,7,8,8,8,48,50,42,47,47,39,2,2,2,2,2,2,11,13,9,10,10,12,2,5,3,1,1,1,14,20,5,12,16,4,13,14,7,7,7,7,12,7,13,1,50,49
P15,2,2,3,3,3,3,31,30,29,29,32,32,12,11,13,14,15,15,20,20,19,23,22,23,30,24,29,29,31,29,24,20,22,23,20,19,51,48,54,52,52,57,50,58,51,52,56,42,28,24,16,2,58,56
P16,24,26,27,28,26,28,5,5,6,6,6,7,27,27,24,25,24,24,25,28,22,22,23,16,15,17,19,16,17,20,37,30,30,34,32,27,50,51,49,51,51,50,45,49,38,41,42,28,28,27,13,5,51,46
P18,9,9,8,9,9,8,40,43,32,35,35,27,15,15,17,16,17,19,38,41,35,40,40,37,4,4,3,2,2,2,3,2,2,3,3,3,48,46,46,46,46,43,23,23,16,16,15,10,21,16,16,2,48,46
P19,15,15,16,18,17,21,47,46,48,46,46,48,45,47,41,43,44,40,56,52,56,55,55,55,29,30,31,30,26,34,16,15,21,20,19,25,60,61,59,59,59,60,44,48,39,42,43,30,39,43,15,15,61,46
P20,29,43,23,21,19,19,30,31,31,31,29,33,50,48,54,52,51,54,50,53,53,56,56,56,47,45,48,46,48,47,19,22,31,19,23,26,49,45,51,49,48,51,39,39,32,32,33,22,39,43,12,19,56,37
P21,13,13,12,12,14,14,24,24,20,21,21,18,17,17,19,17,16,16,17,17,15,17,17,20,23,25,23,24,24,23,12,12,14,13,13,17,41,36,38,38,37,36,36,34,36,35,35,38,22,20,9,12,41,29
P22,27,27,28,27,28,24,10,8,9,9,9,10,7,5,3,4,4,3,27,23,25,28,29,30,27,20,26,26,29,25,8,9,9,9,9,9,40,44,44,41,42,47,24,21,24,25,24,26,21,24,12,3,47,44
P23,5,4,5,5,5,5,50,59,44,49,50,41,18,18,14,15,14,13,35,34,36,37,37,41,24,22,25,25,25,26,51,45,51,50,48,52,44,50,45,48,49,45,53,57,52,57,57,47,35,41,17,4,59,55
P24,8,10,9,8,8,9,36,38,33,34,34,29,30,30,32,31,31,35,37,37,39,36,35,36,9,10,10,8,8,9,10,14,11,11,11,12,37,35,37,37,35,37,16,12,22,22,22,25,23,25,12,8,39,31
