Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.8031,0.7979,0.8300,0.7686,0.8096,0.8018,0.0222,0.0277,3,4,5,4,4,4.0000,4
P02,0.5959,0.6147,0.6739,0.5747,0.6422,0.6203,0.0389,0.0627,11,10,15,15,14,13.0000,14
P03,0.4477,0.4758,0.4476,0.4117,0.4793,0.4524,0.0273,0.0603,20,17,34,27,28,25.2000,26
P04,0.6067,0.6086,0.6751,0.5884,0.6443,0.6246,0.0347,0.0556,8,11,14,11,13,11.4000,12
P05,0.2736,0.2779,0.3471,0.3137,0.3996,0.3224,0.0525,0.1627,37,36,40,40,38,38.2000,39
P06,0.2700,0.2748,0.3574,0.3107,0.3862,0.3198,0.0510,0.1595,39,37,39,41,41,39.4000,40
P07,0.2454,0.2634,0.2693,0.2636,0.3357,0.2755,0.0349,0.1266,42,41,46,43,43,43.0000,43
P08,0.5423,0.5633,0.6357,0.5383,0.6117,0.5783,0.0434,0.0750,15,15,17,16,17,16.0000,15
P09,0.3162,0.3142,0.4540,0.3784,0.4669,0.3859,0.0729,0.1889,33,33,30,30,30,31.2000,31
P10,0.3151,0.3402,0.3377,0.3155,0.3939,0.3405,0.0321,0.0944,34,32,41,39,39,37.0000,37
P11,0.3412,0.3572,0.4621,0.3874,0.4872,0.4070,0.0646,0.1586,28,29,28,28,26,27.8000,27
P12,0.9057,0.9155,0.9782,0.9287,0.9414,0.9339,0.0282,0.0302,2,2,2,2,2,2.0000,2
P13,0.5674,0.5844,0.7329,0.5906,0.6630,0.6276,0.0693,0.1104,13,12,10,10,10,11.0000,11
P14,0.5485,0.5706,0.7797,0.6187,0.6862,0.6407,0.0939,0.1466,14,14,7,8,8,10.2000,9
P15,0.3303,0.3423,0.4606,0.3791,0.4592,0.3943,0.0625,0.1586,31,30,29,29,32,30.2000,29
P16,0.6713,0.7143,0.8289,0.6807,0.7372,0.7265,0.0631,0.0868,5,5,6,6,6,5.6000,6
P18,0.2675,0.2472,0.4503,0.3522,0.4179,0.3470,0.0895,0.2578,40,43,32,35,35,37.0000,37
P19,0.1850,0.1934,0.2254,0.2247,0.2862,0.2230,0.0398,0.1784,47,46,48,46,46,46.6000,46
P20,0.3314,0.3420,0.4511,0.3777,0.4719,0.3948,0.0637,0.1613,30,31,31,31,29,30.4000,30
P21,0.4030,0.4234,0.5785,0.4659,0.5604,0.4862,0.0795,0.1636,24,24,20,21,21,22.0000,21
P22,0.6004,0.6303,0.7475,0.6108,0.6797,0.6538,0.0606,0.0927,10,8,9,9,9,9.0000,8
P23,0.1608,0.0144,0.2885,0.1931,0.2121,0.1738,0.1007,0.5796,50,59,44,49,50,50.4000,50
P24,0.2772,0.2666,0.4485,0.3591,0.4326,0.3568,0.0846,0.2372,36,38,33,34,34,35.0000,35
P25,0.2415,0.2053,0.4358,0.3412,0.3922,0.3232,0.0979,0.3029,43,45,35,37,40,40.0000,41
P26,0.2938,0.2642,0.4657,0.3731,0.4347,0.3663,0.0870,0.2376,35,39,27,32,33,33.2000,34
P27,0.1624,0.0777,0.2909,0.2174,0.2573,0.2011,0.0840,0.4175,49,53,43,47,47,47.8000,47
P28,0.4380,0.4455,0.7193,0.5770,0.6312,0.5622,0.1211,0.2155,22,23,11,14,15,17.0000,17
P29,0.5003,0.5205,0.6664,0.5327,0.6153,0.5670,0.0707,0.1247,16,16,16,17,16,16.2000,16
P30,0.6101,0.6284,0.7560,0.6224,0.6892,0.6612,0.0612,0.0925,7,9,8,7,7,7.6000,7
P31,0.4492,0.4622,0.6076,0.4903,0.5805,0.5180,0.0717,0.1384,18,21,19,19,19,19.2000,18
P32,0.3857,0.4180,0.3706,0.3469,0.4067,0.3856,0.0283,0.0735,25,25,38,36,37,32.2000,33
P33,0.0440,0.0103,0.0797,0.0889,0.1133,0.0673,0.0404,0.6005,60,60,57,59,59,59.0000,60
P34,0.3766,0.4086,0.5212,0.4287,0.5170,0.4504,0.0654,0.1453,26,26,24,25,24,25.0000,25
P35,0.3719,0.3716,0.5716,0.4588,0.5364,0.4621,0.0920,0.1991,27,27,22,22,22,24.0000,24
P36,0.0746,0.0747,0.0778,0.1016,0.1294,0.0916,0.0240,0.2616,56,54,58,56,56,56.0000,56
P37,0.4480,0.4647,0.5735,0.4724,0.5656,0.5048,0.0598,0.1184,19,18,21,20,20,19.6000,20
P38,0.5798,0.5820,0.6920,0.5836,0.6503,0.6176,0.0511,0.0828,12,13,12,13,12,12.4000,13
P39,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,1,1,1,1,1,1.0000,1
P40,0.0649,0.0729,0.0567,0.0522,0.0665,0.0626,0.0082,0.1308,58,55,60,60,60,58.6000,59
P41,0.0899,0.0632,0.1546,0.1419,0.1808,0.1261,0.0483,0.3830,55,56,52,52,52,53.4000,55
P42,0.2724,0.2805,0.3834,0.3307,0.4162,0.3366,0.0629,0.1869,38,35,37,38,36,36.8000,36
P43,0.0699,0.0830,0.0756,0.0948,0.1208,0.0888,0.0201,0.2266,57,52,59,58,58,56.8000,57
P44,0.1128,0.1063,0.1274,0.1240,0.1580,0.1257,0.0200,0.1588,53,50,55,54,54,53.2000,54
P45,0.1744,0.1909,0.1725,0.1887,0.2404,0.1934,0.0275,0.1423,48,47,51,50,49,49.0000,48
P46,0.7969,0.8253,0.9754,0.8382,0.8668,0.8605,0.0690,0.0802,4,3,3,3,3,3.2000,3
P47,0.6309,0.6618,0.8472,0.6854,0.7410,0.7133,0.0851,0.1192,6,6,4,5,5,5.2000,5
P48,0.2274,0.2503,0.2356,0.2345,0.2987,0.2493,0.0288,0.1156,44,42,47,45,45,44.6000,45
P49,0.6059,0.6463,0.6876,0.5877,0.6607,0.6376,0.0406,0.0637,9,7,13,12,11,10.4000,10
P50,0.4528,0.4641,0.4858,0.4331,0.5093,0.4690,0.0295,0.0629,17,19,26,24,25,22.2000,22
P51,0.2067,0.2151,0.2706,0.2557,0.3258,0.2548,0.0479,0.1880,45,44,45,44,44,44.4000,44
P53,0.1212,0.0896,0.1430,0.1310,0.1669,0.1303,0.0284,0.2183,52,51,53,53,53,52.4000,52
