Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,SAW_Rank,Mean_Rank,Consensus_Rank
P01,0.4358,0.2630,0.4637,0.4057,0.4333,0.4071,0.4015,0.0711,0.1772,33,48,35,35,36,37,37.3300,37
P02,0.2267,0.1119,0.2470,0.1943,0.2230,0.2226,0.2042,0.0483,0.2364,49,57,48,53,53,54,52.3300,53
P03,0.2525,0.1921,0.3372,0.2598,0.2895,0.3581,0.2815,0.0606,0.2151,46,52,44,45,46,41,45.6700,46
P04,0.2428,0.2649,0.2694,0.2227,0.2354,0.2616,0.2495,0.0186,0.0748,47,47,47,49,52,49,48.5000,48
P05,0.4262,0.3705,0.4672,0.3866,0.4221,0.3978,0.4117,0.0344,0.0836,35,40,34,37,37,39,37.0000,36
P06,0.2380,0.4088,0.2432,0.2477,0.2995,0.2589,0.2827,0.0656,0.2321,48,35,50,46,44,50,45.5000,45
P07,0.0000,0.0000,0.0000,0.0000,0.0000,0.0143,0.0024,0.0058,2.4495,61,61,61,61,61,60,60.8300,61
P08,0.2957,0.3908,0.3615,0.3258,0.3707,0.4103,0.3591,0.0422,0.1174,43,38,40,40,41,36,39.6700,40
P09,0.4112,0.4280,0.4511,0.3929,0.4557,0.4236,0.4271,0.0238,0.0557,36,32,37,36,34,34,34.8300,35
P10,0.1576,0.2497,0.1903,0.1726,0.2009,0.2105,0.1970,0.0322,0.1633,54,49,55,54,54,56,53.6700,54
P11,0.5160,0.4109,0.5622,0.4690,0.4966,0.4775,0.4887,0.0505,0.1034,25,34,23,28,31,29,28.3300,29
P12,0.6512,0.7038,0.7337,0.6161,0.6826,0.6647,0.6754,0.0412,0.0610,13,11,12,12,12,11,11.8300,12
P13,0.4372,0.5091,0.5309,0.4521,0.5151,0.5340,0.4964,0.0414,0.0834,31,28,27,30,28,20,27.3300,27
P14,0.9610,0.8788,0.9610,1.0000,1.0000,1.0000,0.9668,0.0472,0.0488,2,5,3,1,1,1,2.1700,2
P15,0.5174,0.5677,0.5788,0.5104,0.5762,0.5571,0.5512,0.0300,0.0544,24,20,22,23,20,19,21.3300,22
P16,0.4050,0.4881,0.4888,0.4195,0.4843,0.4950,0.4634,0.0401,0.0865,37,30,30,34,32,27,31.6700,33
P18,0.9347,0.9799,0.9837,0.8851,0.9152,0.9191,0.9363,0.0388,0.0414,3,2,2,3,3,3,2.6700,3
P19,0.5989,0.6528,0.5856,0.5332,0.5857,0.5099,0.5777,0.0506,0.0876,16,15,21,20,19,25,19.3300,19
P20,0.5761,0.5527,0.4774,0.5402,0.5655,0.5044,0.5361,0.0380,0.0708,19,22,31,19,23,26,23.3300,23
P21,0.6639,0.7026,0.6725,0.5814,0.6307,0.5630,0.6357,0.0546,0.0858,12,12,14,13,13,17,13.5000,13
P22,0.7709,0.7966,0.8399,0.7238,0.7757,0.7620,0.7781,0.0385,0.0495,8,9,9,9,9,9,8.8300,9
P23,0.2075,0.2860,0.2284,0.2171,0.2625,0.2398,0.2402,0.0294,0.1226,51,45,51,50,48,52,49.5000,49
P24,0.6768,0.6797,0.7347,0.6259,0.6885,0.6568,0.6771,0.0360,0.0532,10,14,11,11,11,12,11.5000,11
P25,0.6139,0.6059,0.5893,0.5413,0.5921,0.5227,0.5775,0.0369,0.0638,15,16,20,18,17,23,18.1700,16
P26,0.5788,0.5799,0.5995,0.5169,0.5691,0.5139,0.5597,0.0357,0.0638,18,17,18,21,21,24,19.8300,20
