Province,2018,2019,2020,2021,2022,2023,2024,Mean_Score,Trend
P01,0.4099,0.3943,0.4194,0.5491,0.5381,0.4998,0.4812,0.4703,0.0194
P02,0.4453,0.4628,0.4564,0.5080,0.4445,0.5992,0.5045,0.4887,0.0157
P03,0.4524,0.5057,0.4935,0.3408,0.3284,0.4137,0.3923,0.4181,-0.0189
P04,0.4890,0.5137,0.4610,0.4990,0.4933,0.5098,0.5281,0.4991,0.0051
P05,0.5192,0.5014,0.5393,0.5271,0.5486,0.4621,0.4758,0.5105,-0.0071
P06,0.4867,0.5526,0.4651,0.4079,0.4154,0.4867,0.4178,0.4617,-0.0139
P07,0.4376,0.4677,0.3782,0.3121,0.4019,0.4978,0.4365,0.4188,0.0029
P08,0.4951,0.4106,0.3815,0.5053,0.5015,0.5167,0.4584,0.4670,0.0079
P09,0.4846,0.5650,0.4181,0.4126,0.4641,0.4539,0.5181,0.4738,-0.0027
P10,0.5226,0.4783,0.4611,0.5131,0.4881,0.5047,0.4288,0.4852,-0.0072
P11,0.5020,0.5459,0.5584,0.5299,0.4422,0.5571,0.5015,0.5196,-0.0034
P12,0.5769,0.4691,0.6116,0.5182,0.5255,0.6253,0.6242,0.5644,0.0132
P13,0.6011,0.4868,0.4376,0.6195,0.5470,0.5140,0.5328,0.5341,-0.0015
P14,0.6195,0.6076,0.6284,,0.6674,,0.6205,0.6287,
P15,0.5817,0.5840,0.5312,,0.5684,0.5668,0.5239,0.5593,
P16,0.4899,0.5091,0.4309,0.5807,0.5447,0.4802,0.5165,0.5074,0.0048
P17,0.5160,0.5073,0.5035,0.5472,0.5567,0.5644,,0.5325,
P18,0.5452,0.4593,0.5933,,0.5880,0.6194,0.5751,0.5634,
P19,0.4526,0.5493,0.4435,0.4724,0.4559,0.4135,0.4513,0.4626,-0.0094
P20,0.4321,0.3903,0.4359,0.5500,0.5250,0.4416,0.4408,0.4594,0.0078
P21,0.4756,0.3859,0.4350,0.6195,0.5639,0.5739,0.5424,0.5137,0.0252
P22,0.5281,0.4935,0.4981,0.5685,0.4948,0.5372,0.5708,0.5273,0.0076
P23,0.4782,0.5523,0.4861,0.5196,0.4972,0.4547,0.4782,0.4952,-0.0066
P24,0.5092,0.5377,0.4787,0.5308,0.5260,0.5033,0.5355,0.5173,0.0021
P25,0.5668,0.5201,0.4829,0.5747,0.4883,0.5327,0.5123,0.5254,-0.0047
P26,0.5511,0.5095,0.4630,0.6698,0.6505,0.5583,0.5660,0.5669,0.0118
P27,0.5986,0.5392,0.5130,0.5593,0.5209,0.4866,0.5074,0.5321,-0.0132
P28,0.5690,0.5815,0.5677,0.6395,0.5890,0.6356,0.5825,0.5950,0.0061
P29,0.5913,0.5663,0.5520,0.5460,0.5333,0.4954,0.5264,0.5444,-0.0127
P30,0.5585,0.5340,0.5723,0.5311,0.4952,0.5374,0.5818,0.5443,-0.0000
P31,0.4321,0.5940,0.5616,0.7341,0.6093,0.6326,0.5600,0.5891,0.0182
P32,0.5224,0.5582,0.4665,0.4721,0.4525,0.4732,0.5069,0.4931,-0.0082
P33,0.4572,0.5394,0.5052,0.4798,0.4743,0.4137,0.4078,0.4682,-0.0154
P34,0.3938,0.4418,0.3512,0.4142,0.5148,0.4367,0.4985,0.4358,0.0167
P35,0.3540,0.4290,0.4770,0.4760,0.4319,0.5196,0.4839,0.4531,0.0188
P36,0.4224,0.3826,0.3512,0.4102,0.3981,0.3882,0.4075,0.3943,0.0005
P37,0.4075,0.3966,0.3123,0.4276,0.5139,0.5714,0.4867,0.4452,0.0282
P38,0.5487,0.4775,0.3724,0.5375,0.6123,0.6058,0.6129,0.5381,0.0246
P39,0.3791,0.3641,0.3788,0.5130,0.5602,0.4712,0.6584,0.4750,0.0441
P40,0.4317,0.4064,0.4095,0.3737,0.3822,0.3495,0.3530,0.3866,-0.0135
P41,0.4201,0.4100,0.4168,0.3948,0.3520,0.3869,0.3929,0.3962,-0.0069
P42,0.4217,0.4260,0.4303,0.4548,0.4019,0.4527,0.4845,0.4388,0.0076
P43,0.5060,0.4922,0.4278,0.3939,0.4427,0.3538,0.3761,0.4275,-0.0233
P44,0.4467,0.4181,0.3130,0.5219,0.4136,0.4085,0.3791,0.4144,-0.0043
P45,0.4984,0.4676,0.4383,0.4093,0.3892,0.3642,0.4082,0.4250,-0.0188
P46,0.4616,0.4263,0.4072,0.4428,0.3236,0.3199,0.6358,0.4310,0.0081
P47,0.4631,0.4825,0.3808,0.6791,0.6458,,0.5425,0.5323,
P48,0.4317,0.5280,0.4561,0.4169,0.4118,0.3649,0.3961,0.4294,-0.0171
P49,0.5050,0.5475,0.5321,0.4079,0.4472,0.5664,0.6045,0.5158,0.0090
P50,0.3723,0.4941,0.4190,0.3865,0.4042,0.4316,0.4342,0.4203,0.0016
P51,0.4376,0.4018,0.4587,0.4375,0.3595,0.4073,0.4273,0.4185,-0.0042
P52,0.3711,0.4306,0.4065,0.3431,0.4158,0.3431,,0.3850,
P53,0.5837,0.6301,0.5447,0.3685,0.3995,0.3796,0.4118,0.4740,-0.0415
P54,0.4552,0.5065,0.4658,0.3971,0.4108,0.3821,0.3551,0.4247,-0.0216
P55,0.4859,0.4185,0.4806,0.4485,0.5351,0.3927,0.4449,0.4580,-0.0043
P56,0.5532,0.5703,0.6067,0.4678,0.4807,0.4565,0.5336,0.5241,-0.0147
P57,0.4752,0.5062,0.4774,0.4398,0.4199,0.4309,0.4485,0.4568,-0.0103
P58,0.4153,0.4298,0.3953,0.3678,0.4135,0.4406,0.3455,0.4011,-0.0061
P59,0.5378,0.6028,0.4380,0.4260,0.3698,0.4100,0.3670,0.4502,-0.0345
P60,0.3971,0.5273,0.4665,0.4702,0.5073,0.4216,0.5399,0.4757,0.0092
P61,0.4578,0.4622,0.3360,0.3812,0.5059,0.6205,0.5285,0.4703,0.0249
P62,0.4350,0.4863,0.4148,0.5844,0.6110,0.6610,0.5505,0.5347,0.0319
P63,0.5091,0.5302,0.4473,0.4953,0.5090,0.4016,0.5655,0.4940,-0.0009
