Province,2018,2019,2020,2021,2022,2023,2024,Mean_Rank,Rank_Volatility,Best_Year
P01,56,59,45,13.00,16,25.00,36.00,35.71,18.53,2021
P02,44,43,33,26.00,41,8.00,30.00,32.14,12.67,2023
P03,42,30,18,59.00,62,44.00,55.00,44.29,16.05,2020
P04,29,24,31,28.00,32,22.00,22.00,26.86,4.18,2023
P05,19,31,11,20.00,13,33.00,38.00,23.57,10.45,2020
P06,30,11,28,48.00,47,28.00,48.00,34.29,14.01,2019
P07,45,41,57,60.00,53,26.00,44.00,46.57,11.50,2023
P08,27,54,54,27.00,28,20.00,39.00,35.57,13.77,2023
P09,32,9,47,45.00,37,36.00,25.00,33.00,12.95,2019
P10,17,38,30,24.00,34,23.00,46.00,30.29,9.91,2018
P11,25,15,8,19.00,43,15.00,31.00,22.29,11.79,2020
P12,7,40,2,23.00,20,4.00,3.00,14.14,14.18,2020
P13,2,35,39,6.00,14,21.00,20.00,19.57,13.79,2018
P14,1,2,1,,1,,4.00,1.80,1.30,2018
P15,6,5,13,,9,11.00,24.00,11.33,6.89,2019
P16,28,26,42,8.00,15,30.00,26.00,25.00,10.91,2021
P17,20,27,16,14.00,12,13.00,,17.00,5.66,2022
P18,14,45,4,,8,6.00,9.00,14.33,15.40,2020
P19,41,13,36,32.00,38,46.00,40.00,35.14,10.68,2019
P20,48,60,40,12.00,21,38.00,43.00,37.43,16.21,2021
P21,34,61,41,5.00,10,9.00,16.00,25.14,20.80,2021
P22,16,33,17,10.00,31,17.00,10.00,19.14,9.30,2021
P23,33,12,19,22.00,29,35.00,37.00,26.71,9.29,2019
P24,21,18,22,18.00,19,24.00,18.00,20.00,2.38,2019
P25,9,23,20,9.00,33,18.00,27.00,19.86,8.88,2018
P26,12,25,29,3.00,2,14.00,11.00,13.71,10.19,2022
P27,3,17,14,11.00,22,29.00,28.00,17.71,9.38,2018
P28,8,6,6,4.00,7,2.00,7.00,5.71,2.06,2023
P29,4,8,9,15.00,18,27.00,23.00,14.86,8.40,2018
P30,10,19,5,17.00,30,16.00,8.00,15.00,8.37,2020
P31,49,4,7,1.00,6,3.00,13.00,11.86,16.82,2021
P32,18,10,25,33.00,39,31.00,29.00,26.43,9.76,2019
P33,39,16,15,30.00,36,45.00,51.00,33.14,13.75,2020
P34,59,46,60,44.00,23,40.00,32.00,43.43,13.44,2022
P35,63,49,24,31.00,44,19.00,35.00,37.86,15.26,2023
P36,52,62,59,46.00,56,52.00,52.00,54.14,5.30,2021
P37,57,58,63,41.00,24,10.00,33.00,40.86,19.76,2023
P38,13,39,58,16.00,4,7.00,5.00,20.29,20.49,2022
P39,60,63,56,25.00,11,32.00,1.00,35.43,24.80,2024
P40,50,56,50,55.00,58,59.00,60.00,55.43,4.08,2018
P41,54,55,48,51.00,61,53.00,54.00,53.71,3.99,2020
P42,53,51,43,36.00,54,37.00,34.00,44.00,8.60,2024
P43,23,34,44,52.00,42,58.00,57.00,44.29,12.74,2018
P44,43,53,62,21.00,48,48.00,56.00,47.29,13.14,2021
P45,26,42,37,47.00,57,57.00,50.00,45.14,11.19,2018
P46,37,50,51,38.00,63,61.00,2.00,43.14,20.73,2024
P47,36,37,55,2.00,3,,15.00,24.67,21.34,2021
P48,51,21,34,43.00,50,56.00,53.00,44.00,12.52,2019
P49,24,14,12,49.00,40,12.00,6.00,22.43,16.21,2024
P50,61,32,46,53.00,52,41.00,45.00,47.14,9.34,2019
P51,46,57,32,40.00,60,49.00,47.00,47.29,9.55,2020
P52,62,47,52,58.00,46,60.00,,54.17,6.82,2022
P53,5,1,10,56.00,55,55.00,49.00,33.00,26.11,2019
P54,40,28,27,50.00,51,54.00,59.00,44.14,12.72,2020
P55,31,52,21,37.00,17,51.00,42.00,35.86,13.72,2022
P56,11,7,3,35.00,35,34.00,19.00,20.57,14.05,2020
P57,35,29,23,39.00,45,42.00,41.00,36.29,7.85,2020
P58,55,48,53,57.00,49,39.00,61.00,51.71,7.18,2023
P59,15,3,38,42.00,59,47.00,58.00,37.43,21.17,2019
P60,58,22,26,34.00,26,43.00,17.00,32.29,14.13,2024
P61,38,44,61,54.00,27,5.00,21.00,35.71,19.51,2023
P62,47,36,49,7.00,5,1.00,14.00,22.71,20.68,2023
P63,22,20,35,29.00,25,50.00,12.00,27.57,12.23,2024
