RowID,Year,Province,Criterion,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,SAW_Score,ER_Stage1_Utility,Final_ER_Score,ER_Rank
0,2019,P53,C01,0.8603,0.8099,0.7804,0.8230,0.8261,0.7627,0.6864,0.6301,1
1,2019,P53,C02,0.9192,0.9138,0.9063,0.8420,0.8540,0.8093,0.7263,0.6301,1
2,2019,P53,C03,0.6969,0.6448,0.6567,0.7532,0.7487,0.8061,0.6408,0.6301,1
3,2019,P53,C04,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6301,1
4,2019,P53,C05,0.9508,0.9171,0.8987,0.9546,0.9262,0.9679,0.7779,0.6301,1
5,2019,P53,C06,0.4591,0.4439,0.5819,0.5181,0.5388,0.5597,0.5082,0.6301,1
6,2019,P53,C07,0.8004,0.8399,0.8838,0.8112,0.8478,0.8697,0.7043,0.6301,1
7,2019,P53,C08,0.2387,0.0838,0.2414,0.1957,0.2026,0.2172,0.3174,0.6301,1
8,2019,P14,C01,0.8562,0.8651,0.8420,0.7958,0.8009,0.7736,0.6925,0.6076,2
9,2019,P14,C02,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.6076,2
10,2019,P14,C03,0.4777,0.5102,0.5147,0.4804,0.4731,0.5341,0.4993,0.6076,2
11,2019,P14,C04,0.8552,0.9221,0.9256,0.8130,0.8300,0.8086,0.7151,0.6076,2
12,2019,P14,C05,0.4330,0.2311,0.5364,0.4643,0.4416,0.4738,0.4635,0.6076,2
13,2019,P14,C06,0.8824,0.8514,0.8556,0.8750,0.8865,0.8636,0.7231,0.6076,2
14,2019,P14,C07,0.8813,0.9454,1.0000,0.8611,0.8913,0.9663,0.7673,0.6076,2
15,2019,P14,C08,0.2731,0.0965,0.2799,0.2226,0.2285,0.2490,0.3306,0.6076,2
16,2019,P59,C01,0.6050,0.6068,0.6270,0.5951,0.6053,0.6022,0.5623,0.6028,3
17,2019,P59,C02,0.6392,0.6324,0.6783,0.6250,0.6526,0.6237,0.5887,0.6028,3
18,2019,P59,C03,0.6330,0.6392,0.5738,0.5905,0.5848,0.5734,0.5566,0.6028,3
19,2019,P59,C04,0.7594,0.8239,0.9333,0.7846,0.8042,0.8008,0.6894,0.6028,3
20,2019,P59,C05,0.9521,0.9240,0.9270,0.9588,0.9317,0.9435,0.7812,0.6028,3
21,2019,P59,C06,0.8178,0.7849,0.8066,0.7853,0.7959,0.7464,0.6775,0.6028,3
22,2019,P59,C07,0.7222,0.7761,0.9139,0.7195,0.7806,0.8209,0.6746,0.6028,3
23,2019,P59,C08,0.3474,0.2935,0.3708,0.3416,0.3532,0.3476,0.3991,0.6028,3
24,2019,P31,C01,0.6526,0.6812,0.6853,0.6320,0.6412,0.6372,0.5989,0.5940,4
25,2019,P31,C02,0.5545,0.6627,0.4926,0.4352,0.4636,0.3452,0.4956,0.5940,4
26,2019,P31,C03,0.9895,1.0000,0.9908,0.9417,0.9404,0.9819,0.8110,0.5940,4
27,2019,P31,C04,0.3781,0.4270,0.4471,0.4245,0.4620,0.4671,0.4661,0.5940,4
28,2019,P31,C05,0.4101,0.3644,0.3610,0.4755,0.4032,0.4932,0.4556,0.5940,4
29,2019,P31,C06,0.6744,0.6702,0.7315,0.6961,0.7205,0.6934,0.6312,0.5940,4
30,2019,P31,C07,0.5460,0.5844,0.7303,0.5513,0.6483,0.6502,0.5704,0.5940,4
31,2019,P31,C08,0.8734,0.8826,0.9086,0.8451,0.8502,0.8122,0.7177,0.5940,4
32,2019,P15,C01,0.8401,0.8523,0.8877,0.8087,0.8135,0.8124,0.7003,0.5840,5
33,2019,P15,C02,0.8134,0.8513,0.7746,0.7370,0.7524,0.6970,0.6679,0.5840,5
34,2019,P15,C03,0.5561,0.5291,0.5552,0.4928,0.4883,0.4793,0.5076,0.5840,5
35,2019,P15,C04,0.5562,0.6194,0.6630,0.5747,0.6133,0.5850,0.5586,0.5840,5
36,2019,P15,C05,0.8616,0.8658,0.8347,0.8652,0.8171,0.8760,0.7118,0.5840,5
37,2019,P15,C06,0.6334,0.6482,0.7213,0.6554,0.6872,0.6764,0.6107,0.5840,5
38,2019,P15,C07,0.3963,0.3902,0.5671,0.4052,0.4900,0.5155,0.4798,0.5840,5
39,2019,P15,C08,0.6914,0.6712,0.7169,0.6703,0.6811,0.6657,0.6202,0.5840,5
40,2019,P28,C01,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8326,0.5815,6
41,2019,P28,C02,0.6667,0.7370,0.6892,0.5970,0.6276,0.5719,0.5934,0.5815,6
42,2019,P28,C03,0.7933,0.8050,0.7867,0.7475,0.7418,0.7662,0.6715,0.5815,6
43,2019,P28,C04,0.6210,0.6888,0.7294,0.6339,0.6672,0.6598,0.6079,0.5815,6
44,2019,P28,C05,0.9335,0.8990,0.9413,0.9568,0.9289,0.9710,0.7802,0.5815,6
45,2019,P28,C06,0.3180,0.3201,0.3742,0.3474,0.3717,0.3662,0.4047,0.5815,6
46,2019,P28,C07,0.4438,0.4891,0.5662,0.4442,0.5508,0.4980,0.4993,0.5815,6
