Alternative,Mean_Rank,Std_Rank,Rank_Range,Stability_Score
0,36.3840,1.0651,5.0000,0.2045
1,29.8330,0.5993,3.0000,0.5524
2,54.7170,0.4888,2.0000,0.6349
3,20.9030,0.6838,4.0000,0.4893
4,36.9360,0.7469,3.0000,0.4422
5,47.9990,0.0548,2.0000,0.9591
6,43.7740,0.5907,4.0000,0.5588
7,39.0350,0.1838,1.0000,0.8627
8,25.5990,0.4901,1.0000,0.6340
9,45.9790,0.1502,2.0000,0.8878
10,30.8220,0.4004,3.0000,0.7010
11,3.0230,0.1564,2.0000,0.8832
12,20.3160,0.6341,3.0000,0.5264
13,4.3380,0.5213,2.0000,0.6107
14,23.3970,0.5398,2.0000,0.5968
15,25.4080,0.5055,2.0000,0.6225
16,9.0270,0.2242,4.0000,0.8325
17,40.5900,0.7224,3.0000,0.4605
18,43.2930,0.4703,2.0000,0.6488
19,15.6720,0.6453,2.0000,0.5181
20,9.9710,0.1793,2.0000,0.8661
21,37.3900,0.7899,4.0000,0.4101
22,18.2140,0.5867,5.0000,0.5618
23,27.3850,0.5008,3.0000,0.6260
24,11.2810,0.4539,3.0000,0.6610
25,27.7290,0.6554,4.0000,0.5105
26,8.0080,0.0891,1.0000,0.9335
27,22.2650,1.3389,7.0000,0.0000
28,7.0000,0.0000,0.0000,1.0000
29,12.8960,0.3212,2.0000,0.7601
30,29.2280,0.7523,5.0000,0.4381
31,49.0320,0.1870,3.0000,0.8603
32,31.9960,0.0631,1.0000,0.9529
33,33.1970,0.4474,3.0000,0.6658
34,50.7920,0.4591,2.0000,0.6571
35,34.7960,0.8581,5.0000,0.3591
36,4.6380,0.4806,1.0000,0.6411
37,1.0000,0.0000,0.0000,1.0000
38,59.1180,0.3226,1.0000,0.7591
39,54.0530,0.6528,2.0000,0.5124
40,34.2970,0.7647,3.0000,0.4289
41,56.5870,0.5536,2.0000,0.5866
42,56.5300,0.5823,2.0000,0.5651
43,51.9680,0.1974,2.0000,0.8526
44,2.0010,0.0316,1.0000,0.9764
45,16.9130,0.7729,7.0000,0.4227
46,53.2300,0.4744,2.0000,0.6457
47,6.0000,0.0000,0.0000,1.0000
48,44.9430,0.3190,3.0000,0.7618
49,47.0000,0.0632,2.0000,0.9528
50,50.2070,0.4880,3.0000,0.6355
51,59.9950,0.4806,2.0000,0.6411
52,41.8730,0.3645,2.0000,0.7278
53,18.8230,0.8739,5.0000,0.3473
54,40.5150,0.5673,3.0000,0.5763
55,60.8870,0.3166,1.0000,0.7636
56,57.8830,0.4281,2.0000,0.6802
57,15.5790,0.6677,3.0000,0.5014
58,22.9180,0.9986,4.0000,0.2542
59,14.0000,0.0000,0.0000,1.0000
60,11.8170,0.5962,4.0000,0.5547
