Province,Stability,Rank_by_Stability,Classification
P06,1.0000,1,Very Stable
P39,1.0000,2,Very Stable
P46,1.0000,3,Very Stable
P49,1.0000,4,Very Stable
P58,1.0000,5,Very Stable
P08,0.9990,6,Very Stable
P38,0.9990,7,Very Stable
P44,0.9990,8,Very Stable
P59,0.9990,9,Very Stable
P62,0.9990,10,Very Stable
P43,0.9985,11,Very Stable
P25,0.9967,12,Very Stable
P53,0.9956,13,Very Stable
P34,0.9954,14,Very Stable
P22,0.9947,15,Very Stable
P31,0.9944,16,Very Stable
P18,0.9943,17,Very Stable
P11,0.9923,18,Very Stable
P48,0.9918,19,Very Stable
P05,0.9913,20,Very Stable
P51,0.9908,21,Very Stable
P10,0.9906,22,Very Stable
P55,0.9906,23,Very Stable
P40,0.9882,24,Very Stable
P54,0.9882,25,Very Stable
P28,0.9880,26,Very Stable
P30,0.9878,27,Very Stable
P09,0.9878,28,Very Stable
P16,0.9874,29,Very Stable
P20,0.9866,30,Very Stable
P12,0.9864,31,Very Stable
P14,0.9863,32,Very Stable
P50,0.9858,33,Very Stable
P57,0.9851,34,Very Stable
P37,0.9845,35,Very Stable
P19,0.9843,36,Very Stable
P15,0.9842,37,Very Stable
P26,0.9840,38,Very Stable
P03,0.9837,39,Very Stable
P24,0.9834,40,Very Stable
P23,0.9826,41,Very Stable
P07,0.9824,42,Very Stable
P41,0.9818,43,Very Stable
P63,0.9817,44,Very Stable
P02,0.9816,45,Very Stable
P13,0.9814,46,Very Stable
P27,0.9802,47,Very Stable
P04,0.9787,48,Very Stable
P36,0.9774,49,Very Stable
P21,0.9774,50,Very Stable
P60,0.9771,51,Very Stable
P35,0.9754,52,Very Stable
P42,0.9754,53,Very Stable
P47,0.9753,54,Very Stable
P32,0.9734,55,Very Stable
P33,0.9732,56,Very Stable
P01,0.9723,57,Very Stable
P45,0.9715,58,Very Stable
P56,0.9713,59,Very Stable
P61,0.9632,60,Very Stable
P29,0.9570,61,Very Stable
