Subcriteria,Sensitivity,Rank
SC11,1.000000,1
SC63,0.996936,2
SC51,0.995320,3
SC12,0.995320,4
SC83,0.993760,5
SC42,0.993704,6
SC61,0.992200,7
SC41,0.990100,8
SC43,0.989080,9
SC21,0.987520,10
SC44,0.987520,11
SC82,0.987520,12
SC62,0.986942,13
SC14,0.985625,14
SC13,0.984879,15
SC31,0.984462,16
SC64,0.983590,17
SC24,0.982394,18
SC81,0.982394,19
SC72,0.981915,20
SC73,0.981279,21
SC53,0.979719,22
SC22,0.977223,23
SC23,0.976599,24
SC54,0.975039,25
SC33,0.971861,26
SC71,0.967479,27
SC32,0.960998,28
SC52,0.927457,29
