Subcriteria,Criterion,Critic_Local_Weight,Critic_Crit_Weight,Critic_Global_Weight,Rank
SC11,C01,0.264500,0.112295,0.029702,17
SC12,C01,0.190696,0.112295,0.021414,25
SC13,C01,0.204087,0.112295,0.022918,23
SC14,C01,0.340717,0.112295,0.038261,13
SC21,C02,0.312393,0.091903,0.028710,19
SC22,C02,0.230258,0.091903,0.021161,26
SC23,C02,0.184224,0.091903,0.016931,29
SC24,C02,0.273125,0.091903,0.025101,22
SC31,C03,0.347959,0.118856,0.041357,9
SC32,C03,0.325160,0.118856,0.038647,12
SC33,C03,0.326881,0.118856,0.038852,11
SC41,C04,0.186708,0.097575,0.018218,28
SC42,C04,0.204208,0.097575,0.019926,27
SC43,C04,0.220842,0.097575,0.021549,24
SC44,C04,0.388243,0.097575,0.037883,14
SC51,C05,0.250903,0.118097,0.029631,18
SC52,C05,0.237628,0.118097,0.028063,21
SC53,C05,0.268418,0.118097,0.031699,16
SC54,C05,0.243050,0.118097,0.028703,20
SC61,C06,0.233676,0.175988,0.041124,10
SC62,C06,0.286241,0.175988,0.050375,2
SC63,C06,0.270232,0.175988,0.047558,3
SC64,C06,0.209851,0.175988,0.036931,15
SC71,C07,0.369524,0.144539,0.053410,1
SC72,C07,0.302077,0.144539,0.043662,8
SC73,C07,0.328399,0.144539,0.047466,4
SC81,C08,0.332787,0.140748,0.046839,6
SC82,C08,0.337020,0.140748,0.047435,5
SC83,C08,0.330193,0.140748,0.046474,7
