Rank,Province,ER_Score,ER_Rank
1,P02,0.9612577643059044,1
2,P08,0.9243759554616577,2
3,P13,0.9157883207103923,3
4,P12,0.909485086109191,4
5,P10,0.8946196489475209,5
6,P09,0.8925504163677771,6
7,P04,0.8362325115580469,7
8,P03,0.8080871764164461,8
9,P16,0.7987516003843005,9
10,P01,0.7808244812323983,10
11,P15,0.7789647837102152,11
12,P14,0.7712426180888168,12
13,P06,0.7640935552949976,13
14,P05,0.7621447250931608,14
15,P11,0.7548757611570969,15
16,P44,0.7539086825991783,16
17,P35,0.7277458513061316,17
18,P34,0.7026572104045615,18
19,P07,0.6919586949052763,19
20,P36,0.677955990393846,20
21,P26,0.6540674744406634,21
22,P46,0.5992412026464209,22
23,P28,0.5901970171465682,23
24,P48,0.5757856960890391,24
25,P39,0.5696085032860265,25
26,P18,0.5592078337497333,26
27,P29,0.5587300198089029,27
28,P21,0.545871794446529,28
29,P31,0.5450849469103173,29
30,P25,0.5336590624350857,30
31,P24,0.5248383573640251,31
32,P19,0.5192399582268334,32
33,P27,0.5188615188490244,33
34,P42,0.5150153821414403,34
35,P40,0.5090048497480454,35
36,P17,0.5082046131505582,36
37,P20,0.4995512140660783,37
38,P47,0.4915325625058467,38
39,P45,0.4648946481192605,39
40,P32,0.46045760636386635,40
41,P56,0.4604443379828228,41
42,P23,0.4590003984688697,42
43,P51,0.4452941931943542,43
44,P22,0.44322469182780005,44
45,P41,0.43948730845617995,45
46,P53,0.43822112771345634,46
47,P54,0.43522639123193463,47
48,P33,0.42680540504227077,48
49,P43,0.41861448026735565,49
50,P37,0.4165823070891147,50
51,P38,0.3923708366617094,51
52,P30,0.38343973245867463,52
53,P63,0.38159449115059774,53
54,P52,0.3702363005425363,54
55,P49,0.2863053786121278,55
56,P55,0.2834482879512524,56
57,P61,0.19396894695317415,57
58,P60,0.1881520519794572,58
59,P50,0.17856937113068483,59
60,P62,0.14416282805451522,60
61,P57,0.10869674756234299,61
62,P58,0.10758204071913163,62
63,P59,0.103331954765227,63
