Entity,TOPSIS_Score,TOPSIS_Rank,TOPSIS_Distance_Positive,TOPSIS_Distance_Negative,Dynamic_TOPSIS_Score,Fuzzy_TOPSIS_Score,VIKOR_Q,VIKOR_S,VIKOR_R,VIKOR_Rank
P14,0.810601,1,0.005947,0.025454,0.732378,0.834004,0.000000,0.160886,0.018064,1
P06,0.784224,2,0.007003,0.025453,0.785791,0.821472,0.095890,0.178046,0.025609,4
P13,0.778103,3,0.007292,0.025570,0.802804,0.820183,0.110132,0.180685,0.026724,9
P08,0.773155,4,0.007224,0.024620,0.778140,0.790835,0.100877,0.210384,0.023772,6
P01,0.770735,5,0.007294,0.024521,0.789595,0.787479,0.083559,0.209985,0.022217,2
P05,0.769024,6,0.007276,0.024226,0.706625,0.781053,0.089592,0.215780,0.022358,3
P04,0.768994,7,0.007315,0.024352,0.758961,0.789510,0.101274,0.210523,0.023798,7
P07,0.765601,8,0.007423,0.024246,0.810569,0.790060,0.098389,0.206987,0.023785,5
P03,0.759234,9,0.007765,0.024485,0.712065,0.797243,0.158749,0.199458,0.029835,12
P10,0.757228,10,0.008014,0.024996,0.642791,0.810565,0.176009,0.188743,0.032172,13
P15,0.752425,11,0.007810,0.023736,0.779044,0.760607,0.109971,0.239954,0.022506,8
P12,0.721567,12,0.008732,0.022628,0.613272,0.744814,0.120500,0.250162,0.022744,10
P09,0.718622,13,0.008823,0.022533,0.698724,0.731480,0.133935,0.267887,0.022714,11
P02,0.703785,14,0.009559,0.022711,0.641057,0.740301,0.202367,0.256559,0.029771,14
P11,0.700472,15,0.009797,0.022911,0.607703,0.740731,0.344914,0.259216,0.042609,15
P16,0.672491,16,0.010928,0.022440,0.646883,0.725845,0.375843,0.270119,0.044662,16
P27,0.570090,17,0.013765,0.018253,0.621378,0.571619,0.481604,0.432149,0.042836,19
P20,0.531934,18,0.014703,0.016709,0.579562,0.540091,0.510925,0.462124,0.043389,20
P26,0.524311,19,0.014908,0.016432,0.561351,0.527865,0.465403,0.473352,0.038433,18
P21,0.506774,20,0.015250,0.015668,0.555156,0.513236,0.437788,0.485300,0.035062,17
P37,0.501330,21,0.015749,0.015833,0.640654,0.492081,0.529169,0.514747,0.041324,24
P40,0.499655,22,0.015891,0.015869,0.616298,0.501230,0.516243,0.497124,0.041393,21
P17,0.499591,23,0.015972,0.015946,0.651735,0.501124,0.532784,0.502182,0.042546,26
P36,0.493999,24,0.016580,0.016187,0.643811,0.501535,0.716165,0.501072,0.059382,45
P25,0.489724,25,0.016291,0.015635,0.564625,0.499776,0.544365,0.499774,0.043775,30
P38,0.486391,26,0.016148,0.015293,0.592048,0.499329,0.543707,0.498558,0.043801,29
P30,0.485305,27,0.016376,0.015441,0.604203,0.461357,0.525489,0.545727,0.038791,22
P48,0.477391,28,0.016566,0.015133,0.582298,0.480008,0.595344,0.519710,0.047019,34
P23,0.473893,29,0.016893,0.015217,0.519028,0.474954,0.570294,0.529055,0.044068,31
P29,0.473834,30,0.016755,0.015088,0.522059,0.480544,0.659461,0.518045,0.052997,40
P41,0.472189,31,0.016927,0.015144,0.553582,0.477098,0.631448,0.524158,0.050003,38
P28,0.471415,32,0.016940,0.015108,0.528516,0.466647,0.607551,0.533244,0.047175,36
P24,0.466482,33,0.017455,0.015262,0.512621,0.474803,0.769836,0.523039,0.062729,47
P22,0.464555,34,0.016962,0.014716,0.602633,0.460996,0.525726,0.540856,0.039158,23
P44,0.459644,35,0.016988,0.014451,0.553578,0.456490,0.534214,0.546008,0.039568,27
P19,0.456961,36,0.017352,0.014602,0.543747,0.442927,0.619891,0.564072,0.046116,37
P18,0.455391,37,0.017127,0.014321,0.530817,0.465911,0.534598,0.530361,0.040713,28
P47,0.453583,38,0.017481,0.014511,0.476424,0.449710,0.590346,0.552028,0.044271,33
P46,0.452927,39,0.017322,0.014341,0.588065,0.457819,0.690928,0.545341,0.053936,44
P43,0.447016,40,0.017690,0.014300,0.527933,0.454467,0.600537,0.545676,0.045653,35
P42,0.443450,41,0.017751,0.014144,0.586230,0.442293,0.726644,0.560366,0.056135,46
P35,0.439754,42,0.017387,0.013647,0.569584,0.435154,0.531496,0.565774,0.037918,25
P31,0.436795,43,0.017855,0.013848,0.564100,0.439873,0.679302,0.558746,0.051923,42
P32,0.435207,44,0.017626,0.013582,0.461086,0.432900,0.639561,0.568759,0.047582,39
P45,0.422525,45,0.018266,0.013365,0.447039,0.430877,0.584824,0.566996,0.042705,32
P34,0.421995,46,0.018190,0.013280,0.474232,0.428331,0.678131,0.569408,0.051060,41
P39,0.418350,47,0.018640,0.013407,0.510048,0.433688,0.689138,0.562098,0.052584,43
P33,0.406024,48,0.019151,0.013091,0.294671,0.417250,0.770258,0.579195,0.058785,48
P51,0.320569,49,0.021801,0.010286,0.448890,0.294935,0.859775,0.712412,0.057517,52
P62,0.312645,50,0.022395,0.010186,0.501881,0.277241,0.923937,0.729734,0.062152,61
P58,0.302614,51,0.022519,0.009772,0.503759,0.282831,0.934297,0.720483,0.063755,62
P55,0.301928,52,0.022544,0.009751,0.453951,0.270073,0.872472,0.736095,0.056998,56
P60,0.301626,53,0.022976,0.009923,0.416980,0.265241,0.887362,0.740170,0.058069,58
P59,0.298644,54,0.022713,0.009671,0.498328,0.267006,0.890999,0.738792,0.058500,59
P50,0.290300,55,0.022968,0.009395,0.490225,0.260919,0.871840,0.741029,0.056590,55
P63,0.287898,56,0.022867,0.009245,0.491618,0.252887,0.814034,0.754337,0.050364,49
P56,0.277938,57,0.022961,0.008838,0.461055,0.253332,0.862240,0.753001,0.054864,53
P57,0.274890,58,0.023316,0.008839,0.357949,0.233835,0.847875,0.777311,0.051827,51
P53,0.273793,59,0.022965,0.008658,0.334094,0.251015,0.846526,0.753712,0.053377,50
P54,0.272589,60,0.023533,0.008819,0.366242,0.229563,0.881564,0.778384,0.054829,57
P52,0.256772,61,0.023740,0.008202,0.385212,0.228948,0.978698,0.778257,0.063715,64
P64,0.239069,62,0.023912,0.007513,0.393919,0.224512,0.867225,0.775269,0.053740,54
P61,0.224589,63,0.025268,0.007319,0.396935,0.194389,0.970438,0.805142,0.061053,63
P49,0.221819,64,0.024770,0.007061,0.148649,0.208910,0.908289,0.790817,0.056390,60
