Entity,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,Prediction_Year
P01,0.911988,0.921690,0.839150,0.800903,0.746412,0.804665,0.722294,0.961010,0.901777,0.893672,0.714488,0.911964,0.889648,0.811210,0.767492,0.720169,0.740809,0.825298,0.728763,0.663595,2025
P02,0.682597,0.694575,0.689049,0.643114,0.764355,0.957554,0.838158,0.915480,0.886629,0.674437,0.826224,0.747571,0.765001,0.860933,0.905826,0.821434,0.683822,0.656100,0.750645,0.814305,2025
P03,0.874977,0.834664,0.620233,0.860501,0.841599,0.857212,0.785812,0.869889,0.858137,0.778224,0.891665,0.903353,0.917412,0.876298,0.809503,0.755332,0.799795,0.742540,0.672579,0.734444,2025
P04,0.850866,0.720671,0.897338,0.754067,0.749676,0.882139,0.761998,0.917453,0.782602,0.843703,0.874319,0.774319,0.692386,0.835331,0.864364,0.811405,0.831147,0.673741,0.763835,0.726755,2025
P05,0.945762,0.830915,0.813757,0.587496,0.888170,0.807373,0.892485,0.828689,0.931706,0.875734,0.734250,0.871576,0.879225,0.891008,0.863758,0.775846,0.743763,0.699264,0.683684,0.698857,2025
P06,0.715040,0.924443,0.690662,0.882088,0.850814,0.846261,0.857709,0.945187,0.832724,0.802283,0.782184,0.791387,0.916190,0.880806,0.847155,0.742565,0.806026,0.694960,0.828959,0.773014,2025
P07,0.799308,0.828868,0.758167,0.676614,0.795064,0.804368,0.915947,0.881598,0.768226,0.838796,0.839532,0.781069,0.717648,0.846312,0.912614,0.764662,0.759580,0.763761,0.752643,0.855602,2025
P08,0.887149,0.749125,0.953362,0.836179,0.801123,0.785032,0.845597,0.888157,0.794734,0.758006,0.874575,0.692922,0.690645,0.871730,0.892240,0.698711,0.766645,0.815921,0.721752,0.833772,2025
P09,0.795947,0.833205,0.849419,0.699410,0.690242,0.823330,0.805934,0.730844,0.727404,0.822736,0.825645,0.687605,0.858381,0.816818,0.862218,0.722318,0.789125,0.684451,0.849820,0.681820,2025
P10,0.607631,0.698079,0.909185,0.809402,0.839838,0.846257,0.940285,0.901393,0.828890,0.702593,0.727449,0.871814,0.894840,0.880124,0.784347,0.792422,0.843210,0.849229,0.845220,0.829573,2025
P11,0.756849,0.554440,0.736619,0.912791,0.943712,0.727063,0.771650,0.850186,0.770535,0.783512,0.848088,0.879680,0.850598,0.752706,0.848572,0.742776,0.677222,0.820752,0.751936,0.824422,2025
P12,0.807358,0.885730,0.680686,0.711379,0.854544,0.850122,0.898831,0.787878,0.973780,0.859671,0.835410,0.792521,0.825057,0.813827,0.775661,0.809162,0.674994,0.594404,0.687326,0.714405,2025
P13,0.961742,0.784906,0.969179,0.816539,0.658376,0.975201,0.792205,0.944824,0.910485,0.911406,0.781845,0.826592,0.898786,0.803930,0.743586,0.777002,0.829736,0.839657,0.806726,0.610667,2025
P14,0.837118,0.903693,0.765463,0.754369,0.827949,0.973622,0.829613,0.859984,0.870339,0.808980,0.862827,0.912409,0.852952,0.887317,0.868480,0.794312,0.816125,0.772807,0.828306,0.841786,2025
P15,0.909669,0.814041,0.818424,0.619197,0.892849,0.742033,0.875761,0.867795,0.908676,0.933686,0.709163,0.721918,0.878624,0.827619,0.751171,0.776805,0.752951,0.709862,0.767067,0.686259,2025
P16,0.471547,0.843612,0.673371,0.777541,0.784954,0.942489,0.867230,0.775170,0.952800,0.818367,0.782899,0.792071,0.732703,0.878875,0.862814,0.774150,0.773439,0.647894,0.568513,0.706945,2025
P17,0.525008,0.743684,0.596394,0.505391,0.713824,0.792177,0.726372,0.744300,0.631023,0.691324,0.608376,0.770998,0.534238,0.515506,0.593201,0.545527,0.700362,0.652149,0.494739,0.505926,2025
P18,0.645887,0.572966,0.409795,0.614457,0.534818,0.663825,0.755907,0.549204,0.636608,0.708234,0.640859,0.649606,0.689382,0.536474,0.498229,0.537956,0.450017,0.627838,0.701114,0.691128,2025
P19,0.440915,0.569255,0.717486,0.647322,0.675736,0.591354,0.693836,0.796940,0.581768,0.530655,0.545683,0.527869,0.559880,0.671685,0.523751,0.535524,0.594197,0.415564,0.578615,0.514356,2025
P20,0.486994,0.618313,0.779038,0.739406,0.614034,0.755241,0.631117,0.658531,0.793443,0.687790,0.703319,0.629418,0.622624,0.671556,0.618217,0.656641,0.635650,0.570375,0.588982,0.662770,2025
P21,0.584642,0.651879,0.595278,0.641140,0.557876,0.725992,0.712286,0.552596,0.786179,0.645840,0.588407,0.782652,0.745226,0.683552,0.672354,0.604602,0.510812,0.536389,0.659268,0.699757,2025
P22,0.727645,0.760013,0.469852,0.576979,0.506934,0.741370,0.678583,0.864834,0.586383,0.605140,0.563985,0.708963,0.661573,0.584662,0.457382,0.631712,0.413239,0.642539,0.552109,0.423384,2025
P23,0.533929,0.546384,0.638276,0.601376,0.781543,0.764416,0.737714,0.786492,0.723745,0.603286,0.665923,0.617410,0.618637,0.779439,0.531403,0.592083,0.442549,0.585184,0.451421,0.537356,2025
P24,0.293850,0.789830,0.601589,0.677295,0.596926,0.683341,0.535850,0.709706,0.577175,0.699778,0.526710,0.769924,0.557731,0.697736,0.622707,0.683601,0.433700,0.582920,0.671100,0.540836,2025
P25,0.702301,0.552270,0.518358,0.767988,0.641744,0.855746,0.506660,0.609029,0.751872,0.764938,0.616134,0.691772,0.573783,0.566640,0.543207,0.427991,0.585802,0.499032,0.704220,0.729144,2025
