Rank,Entity,Predicted_TOPSIS_Score,Predicted_TOPSIS_Rank,Predicted_VIKOR_Q,Predicted_VIKOR_S,Predicted_VIKOR_R,Predicted_VIKOR_Rank,Prediction_Year
1,P14,0.851013,1,0.000000,0.113817,0.015928,1,2025
2,P13,0.818071,2,0.082480,0.135724,0.023338,5,2025
3,P08,0.815432,3,0.070664,0.172098,0.019053,4,2025
4,P01,0.814745,4,0.056921,0.162612,0.018295,2,2025
5,P06,0.802344,5,0.122039,0.151320,0.026477,9,2025
6,P05,0.801212,6,0.122244,0.165448,0.025347,10,2025
7,P03,0.798177,7,0.138396,0.163805,0.027282,12,2025
8,P15,0.793556,8,0.115830,0.186965,0.022877,7,2025
9,P07,0.791271,9,0.070255,0.179512,0.018403,3,2025
10,P04,0.790175,10,0.104503,0.187652,0.021558,6,2025
11,P10,0.773516,11,0.231448,0.159562,0.038004,14,2025
12,P12,0.762653,12,0.124972,0.203401,0.022556,11,2025
13,P09,0.762220,13,0.117845,0.221225,0.020307,8,2025
14,P11,0.743830,14,0.279487,0.211257,0.039144,15,2025
15,P02,0.722854,15,0.209186,0.227769,0.029959,13,2025
16,P16,0.682889,16,0.425991,0.246459,0.052609,17,2025
17,P27,0.615264,17,0.436671,0.381425,0.042792,18,2025
18,P20,0.551742,18,0.551312,0.438110,0.050951,35,2025
19,P26,0.548686,19,0.414444,0.445865,0.035057,16,2025
20,P37,0.543694,20,0.492838,0.467512,0.042033,24,2025
21,P21,0.531583,21,0.465924,0.449864,0.040471,19,2025
22,P25,0.521193,22,0.476465,0.477731,0.039374,20,2025
23,P17,0.515120,23,0.545655,0.480398,0.046871,34,2025
24,P40,0.512869,24,0.506364,0.479701,0.042547,25,2025
25,P36,0.509938,25,0.637883,0.484725,0.056802,40,2025
26,P38,0.505806,26,0.488786,0.471271,0.041275,21,2025
27,P23,0.503672,27,0.543126,0.488679,0.045914,32,2025
28,P30,0.500950,28,0.491584,0.521731,0.037471,23,2025
29,P48,0.499481,29,0.512658,0.489667,0.042436,26,2025
30,P28,0.493864,30,0.512665,0.506357,0.041076,27,2025
31,P22,0.491899,31,0.515916,0.509491,0.041182,28,2025
32,P29,0.490364,32,0.614370,0.493726,0.053446,38,2025
33,P43,0.481294,33,0.589272,0.505561,0.049682,36,2025
34,P41,0.481256,34,0.532039,0.504601,0.043379,30,2025
35,P47,0.481235,35,0.536012,0.520726,0.042507,31,2025
36,P44,0.477984,36,0.519890,0.527635,0.040146,29,2025
37,P24,0.474983,37,0.789145,0.509109,0.071680,51,2025
38,P18,0.472195,38,0.543380,0.515736,0.043735,33,2025
39,P46,0.471530,39,0.637165,0.524581,0.053471,39,2025
40,P35,0.464595,40,0.489268,0.536195,0.036033,22,2025
41,P19,0.461234,41,0.678595,0.551487,0.055896,44,2025
42,P42,0.456771,42,0.680501,0.538693,0.057153,45,2025
43,P32,0.455274,43,0.605443,0.544225,0.048332,37,2025
44,P31,0.445477,44,0.650792,0.541571,0.053605,42,2025
45,P39,0.440131,45,0.677116,0.534094,0.057150,43,2025
46,P45,0.430592,46,0.640603,0.553787,0.051473,41,2025
47,P34,0.427480,47,0.750393,0.564618,0.062831,48,2025
48,P33,0.418429,48,0.693505,0.560904,0.056791,46,2025
49,P62,0.331999,49,0.857487,0.716566,0.062380,59,2025
50,P51,0.331170,50,0.755954,0.699914,0.052416,49,2025
51,P59,0.322727,51,0.804663,0.717592,0.056406,52,2025
52,P60,0.315027,52,0.807367,0.723838,0.056198,54,2025
53,P55,0.310529,53,0.852891,0.732526,0.060565,56,2025
54,P58,0.308100,54,0.855736,0.712220,0.062539,57,2025
55,P57,0.304498,55,0.766571,0.756978,0.048946,50,2025
56,P63,0.301955,56,0.744634,0.736961,0.048132,47,2025
57,P50,0.294984,57,0.949892,0.744617,0.070395,64,2025
58,P56,0.288546,58,0.882419,0.743183,0.062989,60,2025
59,P54,0.275633,59,0.856411,0.779805,0.057102,58,2025
60,P53,0.268301,60,0.816822,0.758003,0.054466,55,2025
61,P52,0.257051,61,0.899135,0.768363,0.062799,62,2025
62,P64,0.242085,62,0.806841,0.770439,0.052338,53,2025
63,P49,0.228849,63,0.933884,0.785976,0.065237,63,2025
64,P61,0.223317,64,0.887330,0.797370,0.059117,61,2025
