Position,Province,TOPSIS,VIKOR,PROMETHEE,COPRAS,EDAS,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,ER_Score,ER_Rank,Mean_Method_Score,Rank_Range,Spearman_vs_ER
1,P39,0.7295,0.7613,0.8375,0.7506,0.7794,1,1,1,1,1,0.6310,1,0.7717,0,0.9624
2,P12,0.5961,0.6222,0.7069,0.6422,0.6799,7,7,6,5,6,0.5956,2,0.6495,2,0.9624
3,P46,0.6743,0.7000,0.8111,0.7095,0.7428,2,2,2,2,2,0.5894,3,0.7275,0,0.9624
4,P30,0.6099,0.6409,0.7026,0.6099,0.6559,6,6,7,7,7,0.5892,4,0.6438,1,0.9624
5,P38,0.6267,0.6603,0.7610,0.6404,0.6903,4,3,4,6,5,0.5819,5,0.6757,3,0.9624
6,P49,0.6632,0.6586,0.7367,0.6697,0.6999,3,4,5,4,4,0.5720,6,0.6856,2,0.9624
7,P14,0.6259,0.6470,0.7619,0.6712,0.7024,5,5,3,3,3,0.5567,7,0.6817,2,0.9624
8,P28,0.5175,0.5630,0.6647,0.5624,0.6114,15,13,8,9,8,0.5559,8,0.5838,7,0.9624
9,P22,0.5311,0.5722,0.6311,0.5474,0.5914,11,9,13,13,14,0.5533,9,0.5747,5,0.9624
10,P63,0.5249,0.5655,0.6445,0.5497,0.6011,13,11,9,12,12,0.5522,10,0.5771,4,0.9624
11,P29,0.4419,0.4904,0.5185,0.4588,0.5068,27,23,28,28,26,0.5447,11,0.4833,5,0.9624
12,P26,0.5008,0.5348,0.6231,0.5265,0.5696,18,18,14,18,19,0.5426,12,0.5510,5,0.9624
13,P18,0.5174,0.5450,0.6329,0.5544,0.6012,16,16,12,11,11,0.5384,13,0.5702,5,0.9624
14,P60,0.5699,0.5739,0.5969,0.5605,0.6044,8,8,16,10,10,0.5361,14,0.5811,8,0.9624
15,P31,0.5249,0.5629,0.6436,0.5442,0.5916,12,14,10,15,13,0.5337,15,0.5734,5,0.9624
16,P62,0.5231,0.5659,0.6172,0.5279,0.5806,14,10,15,16,16,0.5283,16,0.5629,6,0.9624
17,P04,0.5093,0.5428,0.5954,0.5229,0.5637,17,17,17,19,20,0.5261,17,0.5468,3,0.9624
18,P47,0.5677,0.5640,0.6383,0.5842,0.6048,9,12,11,8,9,0.5163,18,0.5918,4,0.9624
19,P21,0.4796,0.5210,0.5812,0.5001,0.5535,21,20,20,22,22,0.5135,19,0.5271,2,0.9624
20,P24,0.5002,0.5294,0.5853,0.5180,0.5764,19,19,19,20,17,0.5127,20,0.5419,3,0.9624
21,P56,0.5453,0.5600,0.5578,0.5444,0.5859,10,15,22,14,15,0.5123,21,0.5587,12,0.9624
22,P27,0.4270,0.4670,0.4984,0.4393,0.4797,30,25,33,33,33,0.5095,22,0.4623,8,0.9624
23,P13,0.4511,0.4925,0.5864,0.5093,0.5701,24,22,18,21,18,0.5017,23,0.5219,6,0.9624
24,P15,0.4416,0.4729,0.5242,0.4660,0.5082,28,24,27,26,25,0.4996,24,0.4826,4,0.9624
25,P34,0.4066,0.4398,0.4957,0.4261,0.4759,34,33,34,34,34,0.4935,25,0.4488,1,0.9624
26,P11,0.4191,0.4421,0.5042,0.4406,0.4903,32,32,32,31,31,0.4919,26,0.4593,1,0.9624
27,P09,0.4118,0.4542,0.5267,0.4501,0.5027,33,30,25,30,27,0.4907,27,0.4691,8,0.9624
