Province,TOPSIS_Score,VIKOR_Score,PROMETHEE_Score,COPRAS_Score,EDAS_Score,Mean_Score,StdDev_Score,CV_Score,TOPSIS_Rank,VIKOR_Rank,PROMETHEE_Rank,COPRAS_Rank,EDAS_Rank,Mean_Rank,Consensus_Rank
P01,0.8649,0.8518,0.8662,0.8091,0.8495,0.8483,0.0231,0.0273,3,3,4,3,3,3.2000,3
P02,0.6188,0.6177,0.7085,0.5874,0.6686,0.6402,0.0480,0.0750,8,10,13,11,11,10.6000,11
P03,0.5002,0.4929,0.5030,0.4368,0.5215,0.4909,0.0320,0.0652,16,17,24,22,24,20.6000,20
P04,0.6695,0.6868,0.7160,0.6171,0.6801,0.6739,0.0361,0.0536,6,6,11,7,10,8.0000,7
P05,0.2545,0.2812,0.3275,0.2847,0.3892,0.3074,0.0527,0.1713,36,35,40,38,35,36.8000,35
P06,0.2463,0.2771,0.3335,0.2803,0.3735,0.3021,0.0507,0.1679,38,36,39,39,38,38.0000,36
P07,0.2588,0.2750,0.2712,0.2514,0.3436,0.2800,0.0368,0.1315,34,37,43,42,42,39.6000,40
P08,0.5564,0.5612,0.6506,0.5361,0.6261,0.5861,0.0494,0.0843,13,14,16,15,15,14.6000,15
P09,0.2696,0.3056,0.4064,0.3304,0.4359,0.3496,0.0696,0.1992,33,33,33,33,32,32.8000,33
P10,0.3424,0.3527,0.3579,0.3156,0.4180,0.3573,0.0376,0.1054,26,28,37,34,34,31.8000,32
P11,0.3191,0.3521,0.4340,0.3540,0.4782,0.3875,0.0661,0.1705,29,29,28,28,27,28.2000,28
P12,0.9522,0.9521,0.9870,0.9629,0.9707,0.9650,0.0146,0.0151,2,2,2,2,2,2.0000,2
P13,0.5514,0.5737,0.7284,0.5729,0.6633,0.6179,0.0753,0.1218,14,13,10,14,13,12.8000,12
P14,0.5008,0.5472,0.7421,0.5742,0.6643,0.6057,0.0968,0.1597,15,15,9,13,12,12.8000,12
P15,0.2991,0.3370,0.4294,0.3433,0.4455,0.3709,0.0633,0.1708,32,32,29,32,31,31.2000,31
P16,0.6802,0.7005,0.8308,0.6764,0.7449,0.7266,0.0643,0.0885,5,5,5,5,5,5.0000,5
P18,0.1864,0.2280,0.3626,0.2761,0.3471,0.2800,0.0755,0.2697,45,43,36,40,41,41.0000,42
P19,0.1737,0.2018,0.2055,0.1967,0.2688,0.2093,0.0355,0.1695,47,47,46,46,46,46.4000,47
P20,0.3052,0.3384,0.4238,0.3443,0.4614,0.3746,0.0652,0.1741,30,31,31,31,29,30.4000,30
P21,0.3659,0.4070,0.5323,0.4194,0.5423,0.4534,0.0792,0.1747,24,24,21,24,21,22.8000,24
P22,0.6029,0.6192,0.7478,0.6005,0.6851,0.6511,0.0640,0.0983,9,9,8,10,9,9.0000,10
P23,0.0645,0.0000,0.1875,0.0916,0.0899,0.0867,0.0675,0.7781,56,61,49,53,57,55.2000,55
P24,0.2070,0.2500,0.3699,0.2905,0.3736,0.2982,0.0734,0.2460,43,41,35,36,37,38.4000,38
P25,0.1354,0.1738,0.3172,0.2378,0.2890,0.2307,0.0762,0.3306,48,48,41,43,45,45.0000,44
P26,0.2139,0.2487,0.3897,0.3033,0.3726,0.3056,0.0762,0.2493,42,42,34,35,39,38.4000,38
P27,0.0719,0.0658,0.2003,0.1315,0.1597,0.1258,0.0575,0.4573,55,55,47,50,50,51.4000,51
P28,0.3362,0.4023,0.6114,0.4785,0.5542,0.4765,0.1111,0.2332,28,25,17,17,20,21.4000,22
P29,0.4831,0.5111,0.6557,0.5103,0.6139,0.5548,0.0754,0.1358,17,16,15,16,16,16.0000,16
P30,0.6020,0.6160,0.7532,0.6077,0.6907,0.6539,0.0661,0.1011,10,11,7,8,7,8.6000,8
P31,0.4230,0.4529,0.5864,0.4603,0.5746,0.4995,0.0754,0.1510,22,21,18,18,17,19.2000,17
