,Year,Province,Criterion,ER_Utility,Belief_Entropy
0,2018,P01,C01,0.4699,0.8616
1,2018,P01,C02,0.3914,0.9759
2,2018,P01,C03,0.3016,0.9515
3,2018,P01,C04,0.3066,0.9161
4,2018,P01,C05,0.5436,0.9580
5,2018,P01,C06,0.4460,1.2032
6,2018,P01,C07,0.1658,0.4223
7,2018,P01,C08,0.4882,0.9955
8,2018,P02,C01,0.4907,0.6236
9,2018,P02,C02,0.6147,0.9465
10,2018,P02,C03,0.4587,0.9446
11,2018,P02,C04,0.3526,0.9812
12,2018,P02,C05,0.3303,0.7716
13,2018,P02,C06,0.3082,1.0237
14,2018,P02,C07,0.3905,0.9701
15,2018,P02,C08,0.5783,1.0451
16,2018,P03,C01,0.5276,0.9429
17,2018,P03,C02,0.5076,0.6186
18,2018,P03,C03,0.6314,0.8376
19,2018,P03,C04,0.4235,1.0459
20,2018,P03,C05,0.3014,1.0267
21,2018,P03,C06,0.1658,0.4223
22,2018,P03,C07,0.4965,0.9212
23,2018,P03,C08,0.6510,0.7164
24,2018,P04,C01,0.5054,0.5678
25,2018,P04,C02,0.4932,0.6861
26,2018,P04,C03,0.5327,0.8837
27,2018,P04,C04,0.3797,0.9395
28,2018,P04,C05,0.4178,1.0440
29,2018,P04,C06,0.4697,1.0922
30,2018,P04,C07,0.4505,1.2458
31,2018,P04,C08,0.4884,0.8248
32,2018,P05,C01,0.6990,0.9552
33,2018,P05,C02,0.5897,1.0349
34,2018,P05,C03,0.5767,1.0461
35,2018,P05,C04,0.3614,0.9452
36,2018,P05,C05,0.5182,0.7370
37,2018,P05,C06,0.5772,1.0459
38,2018,P05,C07,0.3382,1.1240
39,2018,P05,C08,0.5087,0.9824
40,2018,P06,C01,0.5373,0.9179
41,2018,P06,C02,0.5600,1.0248
42,2018,P06,C03,0.4448,1.0103
43,2018,P06,C04,0.3788,0.9255
44,2018,P06,C05,0.5029,0.8064
45,2018,P06,C06,0.6040,1.0389
46,2018,P06,C07,0.3297,1.0161
47,2018,P06,C08,0.4649,1.0019
48,2018,P07,C01,0.3869,1.2833
49,2018,P07,C02,0.5683,1.0409
50,2018,P07,C03,0.3999,1.0085
51,2018,P07,C04,0.4049,1.0216
52,2018,P07,C05,0.3162,0.8071
53,2018,P07,C06,0.4346,1.1311
54,2018,P07,C07,0.4171,1.0545
55,2018,P07,C08,0.4724,0.8396
56,2018,P08,C01,0.4683,0.8759
57,2018,P08,C02,0.6517,0.7519
58,2018,P08,C03,0.4362,1.0334
59,2018,P08,C04,0.5082,0.7528
60,2018,P08,C05,0.5172,0.7280
61,2018,P08,C06,0.4863,1.0136
62,2018,P08,C07,0.4190,1.0917
63,2018,P08,C08,0.5932,1.0271
64,2018,P09,C01,0.4965,0.6668
65,2018,P09,C02,0.4858,0.6820
66,2018,P09,C03,0.5761,1.0463
67,2018,P09,C04,0.4952,0.7582
68,2018,P09,C05,0.5059,0.6300
69,2018,P09,C06,0.4117,1.0373
70,2018,P09,C07,0.3480,1.1538
71,2018,P09,C08,0.4152,1.0417
72,2018,P10,C01,0.6065,0.9850
73,2018,P10,C02,0.5878,1.0377
74,2018,P10,C03,0.4825,0.8618
75,2018,P10,C04,0.3733,0.9515
76,2018,P10,C05,0.6873,0.8480
77,2018,P10,C06,0.5425,0.9519
78,2018,P10,C07,0.3543,1.1311
79,2018,P10,C08,0.6141,1.0428
80,2018,P11,C01,0.6903,0.9387
81,2018,P11,C02,0.6330,0.8253
82,2018,P11,C03,0.4903,0.6118
83,2018,P11,C04,0.3045,0.9300
84,2018,P11,C05,0.4270,1.0454
85,2018,P11,C06,0.6353,0.9846
86,2018,P11,C07,0.2679,1.0460
87,2018,P11,C08,0.5704,1.0761
88,2018,P12,C01,0.6643,0.8927
89,2018,P12,C02,0.8362,0.3851
90,2018,P12,C03,0.8335,0.4337
91,2018,P12,C04,0.3297,0.8744
92,2018,P12,C05,0.5954,1.0223
93,2018,P12,C06,0.4961,0.8927
94,2018,P12,C07,0.1786,0.5809
95,2018,P12,C08,0.6690,0.8620
96,2018,P13,C01,0.6239,0.8917
97,2018,P13,C02,0.7507,1.0204
98,2018,P13,C03,0.5478,0.9802
99,2018,P13,C04,0.6383,0.8261
100,2018,P13,C05,0.6255,0.8809
101,2018,P13,C06,0.5607,1.0264
102,2018,P13,C07,0.4957,1.3276
103,2018,P13,C08,0.6843,0.8190
104,2018,P14,C01,0.7133,1.0214
105,2018,P14,C02,0.5000,0.3851
106,2018,P14,C03,0.5819,1.0446
107,2018,P14,C04,0.5000,0.3851
108,2018,P14,C05,0.8362,0.3851
109,2018,P14,C06,0.7418,1.0374
110,2018,P14,C07,0.6054,1.3006
111,2018,P14,C08,0.6472,0.9869
112,2018,P15,C01,0.6838,0.8036
113,2018,P15,C02,0.6996,0.9584
114,2018,P15,C03,0.4878,0.6863
115,2018,P15,C04,0.5098,0.7779
116,2018,P15,C05,0.6808,0.7580
117,2018,P15,C06,0.7229,1.0419
118,2018,P15,C07,0.4436,1.2371
119,2018,P15,C08,0.6005,1.1539
120,2018,P16,C01,0.5719,1.0445
121,2018,P16,C02,0.4832,0.7216
122,2018,P16,C03,0.4783,0.7786
123,2018,P16,C04,0.6379,0.7832
124,2018,P16,C05,0.5815,1.0445
125,2018,P16,C06,0.3881,1.0605
126,2018,P16,C07,0.3784,1.0998
127,2018,P16,C08,0.3370,0.6843
128,2018,P17,C01,0.7118,1.0164
129,2018,P17,C02,0.3841,0.9396
130,2018,P17,C03,0.5177,0.8278
131,2018,P17,C04,0.6501,0.7049
132,2018,P17,C05,0.6284,0.8596
133,2018,P17,C06,0.4406,1.1345
134,2018,P17,C07,0.3021,0.9554
135,2018,P17,C08,0.5371,0.9187
136,2018,P18,C01,0.6560,0.7656
137,2018,P18,C02,0.6112,0.9637
138,2018,P18,C03,0.6250,0.8842
139,2018,P18,C04,0.4845,0.7676
140,2018,P18,C05,0.5170,0.8024
141,2018,P18,C06,0.6469,0.8864
142,2018,P18,C07,0.3221,1.1017
143,2018,P18,C08,0.4410,1.0223
144,2018,P19,C01,0.7095,1.0089
145,2018,P19,C02,0.4596,0.9392
146,2018,P19,C03,0.3536,0.7841
147,2018,P19,C04,0.3226,0.8169
148,2018,P19,C05,0.3856,0.9482
149,2018,P19,C06,0.5143,0.9175
150,2018,P19,C07,0.3206,0.9933
151,2018,P19,C08,0.4151,1.0413
152,2018,P20,C01,0.5781,1.0463
153,2018,P20,C02,0.4830,0.7201
154,2018,P20,C03,0.3878,0.9801
155,2018,P20,C04,0.1638,0.3851
156,2018,P20,C05,0.4841,0.7064
157,2018,P20,C06,0.5357,0.9266
158,2018,P20,C07,0.1716,0.5024
159,2018,P20,C08,0.4558,1.0387
160,2018,P21,C01,0.6514,0.7394
161,2018,P21,C02,0.3057,0.9196
162,2018,P21,C03,0.4666,0.8903
163,2018,P21,C04,0.4197,1.0450
164,2018,P21,C05,0.4980,0.7406
165,2018,P21,C06,0.6038,0.9941
166,2018,P21,C07,0.1795,0.5902
167,2018,P21,C08,0.4226,1.0458
168,2018,P22,C01,0.8362,0.3851
169,2018,P22,C02,0.6759,0.7248
170,2018,P22,C03,0.5354,0.9046
171,2018,P22,C04,0.4186,1.0446
172,2018,P22,C05,0.5024,0.8264
173,2018,P22,C06,0.5540,1.0064
174,2018,P22,C07,0.2866,1.0237
175,2018,P22,C08,0.4681,0.8945
176,2018,P23,C01,0.5826,1.0437
177,2018,P23,C02,0.5517,0.9972
178,2018,P23,C03,0.4207,1.0460
179,2018,P23,C04,0.2654,1.0453
180,2018,P23,C05,0.6078,0.9797
181,2018,P23,C06,0.5819,1.0430
182,2018,P23,C07,0.2609,1.0413
183,2018,P23,C08,0.4742,0.9302
184,2018,P24,C01,0.5562,1.0134
