Province,2018,2019,2020,2021,2022,2023,2024,Mean_Score,Trend
P01,0.3914,0.4018,0.4064,0.5339,0.5315,0.4828,0.4586,0.4580,0.0175
P02,0.4504,0.4571,0.4523,0.5074,0.4407,0.5939,0.4865,0.4840,0.0132
P03,0.5000,0.5381,0.5055,0.3469,0.3228,0.3844,0.3824,0.4257,-0.0301
P04,0.4843,0.5202,0.4503,0.5184,0.4759,0.4993,0.5261,0.4964,0.0039
P05,0.5268,0.4910,0.5076,0.5148,0.5489,0.4520,0.4706,0.5017,-0.0073
P06,0.4746,0.5540,0.4602,0.4239,0.4209,0.4807,0.4219,0.4623,-0.0123
P07,0.4294,0.4685,0.3719,0.3274,0.4214,0.5017,0.4509,0.4244,0.0064
P08,0.4944,0.4093,0.3962,0.5252,0.5185,0.4888,0.4305,0.4661,0.0032
P09,0.4836,0.5856,0.4190,0.4274,0.4774,0.4327,0.4907,0.4738,-0.0081
P10,0.5173,0.4765,0.4537,0.5198,0.4795,0.4947,0.4188,0.4801,-0.0083
P11,0.5036,0.5879,0.5694,0.5154,0.4402,0.5513,0.4919,0.5228,-0.0085
P12,0.5956,0.5012,0.6235,0.5181,0.5204,0.6057,0.5956,0.5657,0.0038
P13,0.5878,0.4847,0.4138,0.6108,0.5282,0.4854,0.5017,0.5161,-0.0051
P14,0.6120,0.5706,0.5744,,0.6096,,0.5567,0.5847,
P15,0.5679,0.5857,0.5253,,0.5547,0.5535,0.4996,0.5478,
P16,0.4748,0.5004,0.4154,0.5431,0.5289,0.4451,0.4843,0.4846,0.0011
P17,0.5159,0.5224,0.4788,0.5539,0.5257,0.5504,,0.5245,
P18,0.5457,0.4563,0.5789,,0.5666,0.6027,0.5384,0.5481,
P19,0.4293,0.5415,0.4227,0.4569,0.4275,0.3936,0.4223,0.4420,-0.0111
P20,0.4216,0.3789,0.4088,0.5275,0.4950,0.4332,0.4153,0.4400,0.0063
P21,0.4591,0.3781,0.4214,0.6085,0.5448,0.5404,0.5135,0.4951,0.0218
P22,0.5240,0.5246,0.5012,0.5433,0.4594,0.5243,0.5533,0.5186,0.0016
P23,0.4638,0.5502,0.4758,0.5065,0.4761,0.4354,0.4545,0.4803,-0.0092
P24,0.4758,0.5306,0.4378,0.5065,0.5084,0.4893,0.5127,0.4945,0.0035
P25,0.5570,0.5147,0.4708,0.5570,0.4532,0.4919,0.4744,0.5027,-0.0111
P26,0.5559,0.4967,0.4473,0.6644,0.6341,0.5364,0.5426,0.5539,0.0081
P27,0.6042,0.5637,0.5151,0.5692,0.5198,0.4707,0.5095,0.5360,-0.0166
P28,0.6070,0.5639,0.5877,0.6400,0.5759,0.6226,0.5559,0.5933,-0.0017
P29,0.6073,0.5947,0.5610,0.5577,0.5539,0.5246,0.5447,0.5634,-0.0120
P30,0.5586,0.5441,0.5898,0.5512,0.5278,0.5642,0.5892,0.5607,0.0025
P31,0.3978,0.6198,0.5556,0.7175,0.5878,0.6018,0.5337,0.5734,0.0144
P32,0.4975,0.5327,0.4398,0.4475,0.4179,0.4438,0.4897,0.4670,-0.0080
P33,0.4591,0.5290,0.5128,0.4757,0.4571,0.4254,0.4291,0.4698,-0.0126
P34,0.4021,0.4714,0.3513,0.4087,0.5112,0.4592,0.4935,0.4425,0.0146
P35,0.3637,0.4266,0.4504,0.4780,0.4054,0.5050,0.4786,0.4440,0.0163
P36,0.3988,0.4105,0.3518,0.4022,0.3917,0.3754,0.4062,0.3910,-0.0003
P37,0.3779,0.4052,0.3038,0.4048,0.4825,0.5415,0.4470,0.4232,0.0235
P38,0.5076,0.4352,0.3566,0.5212,0.5801,0.5630,0.5819,0.5065,0.0251
P39,0.3610,0.3672,0.3551,0.4916,0.5300,0.4385,0.6310,0.4535,0.0403
P40,0.4287,0.4243,0.4040,0.3819,0.3878,0.3373,0.3497,0.3877,-0.0153
P41,0.4042,0.4018,0.4034,0.4043,0.3594,0.3863,0.3890,0.3926,-0.0043
P42,0.4215,0.4171,0.4297,0.4693,0.3860,0.4274,0.4616,0.4304,0.0035
P43,0.5242,0.5212,0.4288,0.4081,0.4534,0.3658,0.3633,0.4379,-0.0275
P44,0.4578,0.4230,0.3295,0.5172,0.4045,0.3938,0.3641,0.4129,-0.0094
P45,0.5035,0.4951,0.4273,0.4176,0.4130,0.3692,0.3922,0.4311,-0.0214
P46,0.4219,0.4098,0.4037,0.4245,0.3239,0.2938,0.5894,0.4096,0.0068
P47,0.4739,0.4750,0.3501,0.6633,0.5875,,0.5163,0.5110,
P48,0.4324,0.5076,0.4510,0.4075,0.3950,0.3598,0.3706,0.4177,-0.0192
P49,0.5015,0.5123,0.4969,0.4074,0.4311,0.5329,0.5720,0.4935,0.0067
P50,0.3659,0.4858,0.3941,0.3780,0.3771,0.4013,0.4105,0.4018,-0.0019
P51,0.4158,0.3717,0.4338,0.4108,0.3502,0.4033,0.4074,0.3990,-0.0016
P52,0.3466,0.4240,0.3898,0.3489,0.3870,0.3107,,0.3678,
P53,0.5482,0.5856,0.5377,0.3657,0.3880,0.3567,0.3891,0.4530,-0.0388
P54,0.4318,0.4870,0.4524,0.4022,0.3937,0.3483,0.3282,0.4062,-0.0231
P55,0.4681,0.3947,0.4708,0.4470,0.5154,0.3695,0.4279,0.4419,-0.0045
P56,0.5281,0.5611,0.5761,0.4617,0.4630,0.4628,0.5123,0.5093,-0.0127
P57,0.4388,0.4938,0.4471,0.4165,0.4001,0.3976,0.4188,0.4304,-0.0107
P58,0.4024,0.4177,0.3888,0.3614,0.4066,0.4247,0.3603,0.3946,-0.0034
P59,0.5000,0.5770,0.4224,0.4160,0.3531,0.4217,0.3614,0.4360,-0.0284
P60,0.4050,0.5549,0.4558,0.4651,0.5016,0.4170,0.5361,0.4765,0.0058
P61,0.4333,0.4597,0.3240,0.3649,0.4752,0.5790,0.4834,0.4456,0.0193
P62,0.4316,0.4747,0.4010,0.5729,0.5882,0.6392,0.5283,0.5194,0.0288
P63,0.5143,0.5094,0.4133,0.5006,0.5084,0.4004,0.5522,0.4855,-0.0003
