Province,2018,2019,2020,2021,2022,2023,2024,Mean_Rank,Rank_Volatility,Best_Year
P01,56,58,46,14.00,16,26.00,36.00,36.00,18.11,2021
P02,44,44,33,26.00,40,8.00,30.00,32.14,12.71,2023
P03,40,28,18,59.00,62,48.00,55.00,44.29,16.50,2020
P04,29,24,31,28.00,31,22.00,21.00,26.57,4.20,2024
P05,19,31,11,20.00,13,34.00,37.00,23.57,10.39,2020
P06,31,12,27,48.00,46,28.00,48.00,34.29,13.62,2019
P07,45,42,56,60.00,52,27.00,44.00,46.57,10.89,2023
P08,27,54,54,27.00,27,21.00,39.00,35.57,13.69,2023
P09,32,8,45,44.00,37,36.00,26.00,32.57,12.67,2019
P10,17,38,30,24.00,33,23.00,46.00,30.14,9.86,2018
P11,24,13,8,19.00,43,15.00,31.00,21.86,11.98,2020
P12,7,40,2,23.00,20,4.00,3.00,14.14,14.18,2020
P13,2,35,40,6.00,15,20.00,20.00,19.71,13.96,2018
P14,1,2,1,,1,,4.00,1.80,1.30,2018
P15,6,5,12,,9,11.00,24.00,11.17,6.85,2019
P16,28,25,42,8.00,14,30.00,25.00,24.57,11.04,2021
P17,20,27,16,13.00,12,13.00,,16.83,5.78,2022
P18,14,45,4,,7,5.00,9.00,14.00,15.59,2020
P19,42,14,36,32.00,38,45.00,40.00,35.29,10.27,2019
P20,50,60,41,12.00,22,39.00,43.00,38.14,16.30,2021
P21,34,61,39,5.00,10,9.00,16.00,24.86,20.55,2021
P22,16,32,17,10.00,32,17.00,10.00,19.14,9.28,2021
P23,33,11,19,22.00,30,35.00,38.00,26.86,9.79,2019
P24,22,17,22,18.00,19,24.00,18.00,20.00,2.65,2019
P25,9,23,20,9.00,34,18.00,27.00,20.00,9.13,2018
P26,11,26,29,3.00,2,14.00,11.00,13.71,10.42,2022
P27,3,16,14,11.00,21,29.00,28.00,17.43,9.32,2018
P28,8,6,6,4.00,8,2.00,8.00,6.00,2.31,2023
P29,4,9,9,15.00,17,25.00,22.00,14.43,7.57,2018
P30,10,19,5,17.00,29,16.00,7.00,14.71,8.22,2020
P31,51,4,7,1.00,6,3.00,13.00,12.14,17.55,2021
P32,18,10,26,34.00,39,32.00,29.00,26.86,9.94,2019
P33,37,18,15,30.00,36,44.00,49.00,32.71,12.65,2020
P34,59,46,60,43.00,23,40.00,32.00,43.29,13.44,2022
P35,63,48,23,31.00,44,19.00,33.00,37.29,15.37,2023
P36,53,62,59,46.00,56,52.00,51.00,54.14,5.34,2021
P37,57,59,63,42.00,25,10.00,35.00,41.57,19.65,2023
P38,13,39,58,16.00,5,7.00,5.00,20.43,20.36,2022
P39,60,63,57,25.00,11,31.00,1.00,35.43,24.97,2024
P40,49,56,50,55.00,58,59.00,59.00,55.14,4.14,2018
P41,54,55,48,52.00,61,53.00,54.00,53.86,3.89,2020
P42,52,50,43,36.00,54,37.00,34.00,43.71,8.30,2024
P43,23,33,44,51.00,42,58.00,57.00,44.00,12.78,2018
P44,43,53,62,21.00,47,49.00,56.00,47.29,13.15,2021
P45,26,41,38,47.00,57,57.00,52.00,45.43,11.30,2018
P46,38,51,51,39.00,63,61.00,2.00,43.57,20.70,2024
P47,36,37,55,2.00,3,,17.00,25.00,21.18,2021
P48,48,22,34,45.00,51,56.00,53.00,44.14,12.08,2019
P49,25,15,13,49.00,41,12.00,6.00,23.00,16.22,2024
P50,61,34,47,53.00,55,42.00,45.00,48.14,8.99,2019
P51,47,57,32,40.00,60,47.00,47.00,47.14,9.51,2020
P52,62,49,52,58.00,48,60.00,,54.83,5.95,2022
P53,5,1,10,56.00,53,54.00,50.00,32.71,25.81,2019
P54,41,29,28,50.00,50,55.00,60.00,44.71,12.49,2020
P55,30,52,21,37.00,18,51.00,42.00,35.86,13.56,2022
P56,12,7,3,35.00,35,33.00,19.00,20.57,13.78,2020
P57,35,30,24,38.00,45,41.00,41.00,36.29,7.25,2020
P58,55,47,53,57.00,49,38.00,61.00,51.43,7.57,2023
P59,15,3,37,41.00,59,46.00,58.00,37.00,21.06,2019
P60,58,20,25,33.00,26,43.00,15.00,31.43,14.80,2024
P61,39,43,61,54.00,28,6.00,23.00,36.29,18.88,2023
P62,46,36,49,7.00,4,1.00,14.00,22.43,20.63,2023
P63,21,21,35,29.00,24,50.00,12.00,27.43,12.26,2024
