Alternative,Mean_Rank,Std_Rank,Rank_Range,Stability_Score
0,36.0090,0.7259,4.0000,0.4727
1,29.1730,0.7093,5.0000,0.4847
2,53.9970,0.0547,1.0000,0.9603
3,16.8630,0.3902,2.0000,0.7166
4,33.8360,0.4573,4.0000,0.6678
5,43.8240,1.0784,6.0000,0.2165
6,37.9870,0.5068,3.0000,0.6318
7,40.5080,0.6340,3.0000,0.5394
8,27.1900,0.6292,5.0000,0.5429
9,45.4310,0.6271,4.0000,0.5444
10,26.1870,0.7823,4.0000,0.4317
11,2.0740,0.2618,1.0000,0.8098
12,23.1900,0.4073,2.0000,0.7041
13,8.0150,1.3765,5.0000,0.0000
14,23.8060,0.4005,2.0000,0.7091
15,30.2680,0.6987,3.0000,0.4924
16,13.1040,0.6864,4.0000,0.5013
17,43.6290,0.8021,5.0000,0.4173
18,46.8020,0.4391,3.0000,0.6810
19,19.4860,0.9517,4.0000,0.3086
20,8.9510,0.6408,3.0000,0.5345
21,36.9160,0.5504,3.0000,0.6001
22,20.1810,0.8475,4.0000,0.3843
23,33.1350,0.3857,2.0000,0.7198
24,11.7510,0.5030,2.0000,0.6346
25,21.3570,1.1160,5.0000,0.1892
26,7.6220,0.5614,4.0000,0.5922
27,11.4260,0.9882,6.0000,0.2821
28,3.5300,0.5011,2.0000,0.6360
29,14.8460,0.3719,2.0000,0.7298
30,27.5860,1.1707,6.0000,0.1495
31,41.0800,0.8035,3.0000,0.4163
32,25.2950,0.6277,5.0000,0.5440
33,32.0100,0.2681,3.0000,0.8052
34,49.6070,0.6376,3.0000,0.5368
35,38.8690,0.3713,2.0000,0.7303
36,4.9990,0.0316,1.0000,0.9770
37,1.0000,0.0000,0.0000,1.0000
38,60.0000,0.0000,0.0000,1.0000
39,52.4400,0.6591,3.0000,0.5212
40,35.2070,0.4052,1.0000,0.7057
41,57.1660,0.9319,3.0000,0.3230
42,56.6030,0.6704,3.0000,0.5130
43,51.1660,0.4055,2.0000,0.7054
44,3.3970,0.6224,2.0000,0.5478
45,18.7360,1.2909,5.0000,0.0622
46,55.0000,0.0000,0.0000,1.0000
47,6.0010,0.0316,1.0000,0.9770
48,48.1410,0.4807,4.0000,0.6507
49,49.2320,0.5159,2.0000,0.6252
50,52.3970,0.6028,2.0000,0.5621
51,61.0000,0.0000,0.0000,1.0000
52,41.5830,0.9608,4.0000,0.3020
53,20.2290,1.3381,4.0000,0.0279
54,45.1630,1.3381,6.0000,0.0279
55,58.5310,0.5244,2.0000,0.6190
56,57.7000,1.1781,3.0000,0.1441
57,13.7820,0.7486,4.0000,0.4561
58,30.3300,1.0436,8.0000,0.2419
59,16.1540,0.3609,1.0000,0.7378
60,9.5020,0.7225,4.0000,0.4751
