Province,Stability,Rank_by_Stability,Classification
P39,1.0000,1,Very Stable
P40,1.0000,2,Very Stable
P48,1.0000,3,Very Stable
P54,1.0000,4,Very Stable
P38,0.9990,5,Very Stable
P49,0.9990,6,Very Stable
P03,0.9982,7,Very Stable
P12,0.9914,8,Very Stable
P35,0.9912,9,Very Stable
P62,0.9882,10,Very Stable
P37,0.9878,11,Very Stable
P31,0.9878,12,Very Stable
P25,0.9874,13,Very Stable
P04,0.9872,14,Very Stable
P15,0.9869,15,Very Stable
P42,0.9867,16,Very Stable
P45,0.9867,17,Very Stable
P13,0.9866,18,Very Stable
P20,0.9856,19,Very Stable
P05,0.9850,20,Very Stable
P50,0.9842,21,Very Stable
P30,0.9836,22,Very Stable
P26,0.9835,23,Very Stable
P07,0.9834,24,Very Stable
P51,0.9831,25,Very Stable
P58,0.9828,26,Very Stable
P23,0.9820,27,Very Stable
P28,0.9816,28,Very Stable
P53,0.9802,29,Very Stable
P46,0.9796,30,Very Stable
P10,0.9794,31,Very Stable
P34,0.9794,32,Very Stable
P09,0.9794,33,Very Stable
P08,0.9792,34,Very Stable
P36,0.9791,35,Very Stable
P22,0.9790,36,Very Stable
P41,0.9784,37,Very Stable
P44,0.9780,38,Very Stable
P18,0.9775,39,Very Stable
P16,0.9771,40,Very Stable
P02,0.9767,41,Very Stable
P63,0.9763,42,Very Stable
P01,0.9762,43,Very Stable
P60,0.9755,44,Very Stable
P11,0.9744,45,Very Stable
P19,0.9737,46,Very Stable
P33,0.9737,47,Very Stable
P24,0.9722,48,Very Stable
P43,0.9694,49,Very Stable
P21,0.9688,50,Very Stable
P55,0.9685,51,Very Stable
P29,0.9676,52,Very Stable
P61,0.9658,53,Very Stable
P06,0.9646,54,Very Stable
P27,0.9634,55,Very Stable
P32,0.9616,56,Very Stable
P59,0.9614,57,Very Stable
P47,0.9577,58,Very Stable
P57,0.9561,59,Very Stable
P56,0.9561,60,Very Stable
P14,0.9549,61,Very Stable
