Subcriteria,Sensitivity,Rank
SC32,1.000000,1
SC73,0.674157,2
SC83,0.606742,3
SC24,0.597378,4
SC22,0.582896,5
SC71,0.580668,6
SC42,0.577983,7
SC11,0.576779,8
SC61,0.576779,9
SC13,0.572313,10
SC72,0.567208,11
SC12,0.562467,12
SC81,0.562467,13
SC43,0.561798,14
SC82,0.561798,15
SC62,0.559162,16
SC64,0.551117,17
SC63,0.546950,18
SC23,0.543071,19
SC41,0.530539,20
SC21,0.520599,21
SC51,0.519797,22
SC44,0.516854,23
SC33,0.510889,24
SC14,0.508159,25
SC31,0.464869,26
SC54,0.430712,27
SC53,0.408240,28
SC52,0.401037,29
