Subcriteria,Criterion,Entropy_Local_Weight,Entropy_Crit_Weight,Entropy_Global_Weight,Entropy_Rank
SC11,C01,0.276740,0.105362,0.029158,12
SC12,C01,0.190856,0.105362,0.020109,16
SC13,C01,0.210921,0.105362,0.022223,15
SC14,C01,0.321483,0.105362,0.033872,7
SC21,C02,0.680907,0.065630,0.044688,6
SC22,C02,0.142723,0.065630,0.009367,24
SC23,C02,0.152710,0.065630,0.010022,23
SC24,C02,0.023660,0.065630,0.001553,29
SC31,C03,0.072073,0.321290,0.023156,13
SC32,C03,0.754920,0.321290,0.242549,1
SC33,C03,0.173007,0.321290,0.055585,4
SC41,C04,0.212362,0.068283,0.014501,19
SC42,C04,0.204317,0.068283,0.013951,20
SC43,C04,0.453271,0.068283,0.030951,10
SC44,C04,0.130050,0.068283,0.008880,26
SC51,C05,0.205897,0.045137,0.009294,25
SC52,C05,0.055677,0.045137,0.002513,28
SC53,C05,0.229966,0.045137,0.010380,22
SC54,C05,0.508459,0.045137,0.022950,14
SC61,C06,0.190214,0.098226,0.018684,17
SC62,C06,0.178960,0.098226,0.017579,18
SC63,C06,0.311899,0.098226,0.030637,11
SC64,C06,0.318926,0.098226,0.031327,9
SC71,C07,0.392365,0.134870,0.052918,5
SC72,C07,0.058023,0.134870,0.007826,27
SC73,C07,0.549612,0.134870,0.074126,3
SC81,C08,0.195906,0.161203,0.031581,8
SC82,C08,0.076747,0.161203,0.012372,21
SC83,C08,0.727347,0.161203,0.117250,2
