Subcriteria,Criterion,Entropy_Global,Critic_Global,Hybrid_Global,Entropy_Crit_Weight,Critic_Crit_Weight,Hybrid_Crit_Weight,Entropy_Rank,Critic_Rank,Hybrid_Rank,Entropy_vs_Hybrid,Critic_vs_Hybrid
SC11,C01,0.029158,0.027069,0.029403,0.105362,0.117141,0.110850,12,20,14,-0.000245,-0.002333
SC12,C01,0.020109,0.026981,0.023338,0.105362,0.117141,0.110850,16,22,19,-0.003229,0.003644
SC13,C01,0.022223,0.026829,0.023541,0.105362,0.117141,0.110850,15,23,17,-0.001318,0.003289
SC14,C01,0.033872,0.036261,0.034569,0.105362,0.117141,0.110850,7,12,10,-0.000697,0.001692
SC21,C02,0.044688,0.037233,0.042329,0.065630,0.093701,0.079242,6,9,7,0.002359,-0.005095
SC22,C02,0.009367,0.021064,0.014300,0.065630,0.093701,0.079242,24,27,28,-0.004933,0.006764
SC23,C02,0.010022,0.020448,0.014701,0.065630,0.093701,0.079242,23,28,27,-0.004679,0.005747
SC24,C02,0.001553,0.014955,0.007912,0.065630,0.093701,0.079242,29,29,29,-0.006359,0.007044
SC31,C03,0.023156,0.052750,0.043044,0.321290,0.203533,0.259231,13,3,6,-0.019888,0.009706
SC32,C03,0.242549,0.091863,0.154093,0.321290,0.203533,0.259231,1,1,1,0.088455,-0.062230
SC33,C03,0.055585,0.058919,0.062093,0.321290,0.203533,0.259231,4,2,3,-0.006508,-0.003174
SC41,C04,0.014501,0.027007,0.021479,0.068283,0.121336,0.096792,19,21,21,-0.006978,0.005528
SC42,C04,0.013951,0.023016,0.019392,0.068283,0.121336,0.096792,20,24,23,-0.005441,0.003624
SC43,C04,0.030951,0.030905,0.032419,0.068283,0.121336,0.096792,10,15,11,-0.001468,-0.001514
SC44,C04,0.008880,0.040409,0.023502,0.068283,0.121336,0.096792,26,6,18,-0.014621,0.016907
SC51,C05,0.009294,0.021093,0.017256,0.045137,0.104249,0.081916,25,26,25,-0.007962,0.003837
SC52,C05,0.002513,0.033543,0.016068,0.045137,0.104249,0.081916,28,13,26,-0.013555,0.017475
SC53,C05,0.010380,0.021926,0.018362,0.045137,0.104249,0.081916,22,25,24,-0.007982,0.003565
SC54,C05,0.022950,0.027686,0.030230,0.045137,0.104249,0.081916,14,19,13,-0.007280,-0.002544
SC61,C06,0.018684,0.037067,0.026213,0.098226,0.150045,0.122719,17,10,15,-0.007529,0.010853
SC62,C06,0.017579,0.032105,0.024168,0.098226,0.150045,0.122719,18,14,16,-0.006589,0.007937
SC63,C06,0.030637,0.040282,0.034998,0.098226,0.150045,0.122719,11,7,9,-0.004361,0.005284
SC64,C06,0.031327,0.040591,0.037340,0.098226,0.150045,0.122719,9,5,8,-0.006013,0.003251
SC71,C07,0.052918,0.039355,0.045128,0.134870,0.103941,0.118361,5,8,5,0.007791,-0.005773
SC72,C07,0.007826,0.027839,0.020592,0.134870,0.103941,0.118361,27,18,22,-0.012766,0.007247
SC73,C07,0.074126,0.036748,0.052642,0.134870,0.103941,0.118361,3,11,4,0.021484,-0.015894
SC81,C08,0.031581,0.030405,0.031865,0.161203,0.106055,0.130889,8,16,12,-0.000284,-0.001460
SC82,C08,0.012372,0.028576,0.022712,0.161203,0.106055,0.130889,21,17,20,-0.010341,0.005863
SC83,C08,0.117250,0.047075,0.076312,0.161203,0.106055,0.130889,2,4,2,0.040938,-0.029237
